value,count,prop,class,col
2,478141,73.92,Trees,darkgreen
11,85387,13.2,Rangeland,green
1,80650,12.47,Water,blue
4,2050,0.32,Flooded vegetation,lightgreen
8,526,0.08,Bare ground,burlywood
7,76,0.01,Built Area,red
9,18,0,Snow/Ice,black
5,1,0,Crops,yellow
