,FederalSit,Property_N,Site_Name_,CurrentSit,ClassType,ClassEN,Location_E,DOB_Identi,DOB_Name_E,Involvemen,Involvem_1,PropertyTy,Property_1,Contaminan,Contamin_1,Contaminat,Management,Additional,Action_EN,NonFedOwne,NonFedOw_1,EstCubicMe,EstHectare,EstTonsCon,Population,Populati_1,Populati_2,Populati_3,Populati_4,Province_C,Province_N,Census_Sub,Census_S_1,Federal_El,Federal__1,Country_Co,Country_Na,Latitude,Longitude,Created,Modified,FCSILink_E,mi_prinx,PRV_WSHD_I,NHN_TWS_ID
13457,20709,84614,Skidegate Narrows Front Range #4 - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,0,7,31,3482,4232,59,British Columbia,32,North Coast E,28,Skeena--Bulkley Valley,CA,Canada,53.14792,-132.26542,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020709-eng.aspx,14168,NA,08OB
13458,20710,84613,Skidegate Narrows Rear Range #4 - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,0,7,31,3480,4232,59,British Columbia,32,North Coast E,28,Skeena--Bulkley Valley,CA,Canada,53.14806,-132.26583,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020710-eng.aspx,14169,NA,08OB
13459,20711,84617,Skidegate Narrows East #11 - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,0,7,31,3420,4231,59,British Columbia,32,North Coast E,28,Skeena--Bulkley Valley,CA,Canada,53.14972,-132.27375,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020711-eng.aspx,14170,NA,08OA
13460,20712,84626,Skidegate Narrows West #3 - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,0,7,31,2591,4201,59,British Columbia,27,North Coast D,28,Skeena--Bulkley Valley,CA,Canada,53.15056,-132.3625,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020712-eng.aspx,14171,NA,08OA
13461,20713,84619,Skidegate Narrows Front Range #2 - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,0,7,31,3567,4235,59,British Columbia,32,North Coast E,28,Skeena--Bulkley Valley,CA,Canada,53.14611,-132.25111,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020713-eng.aspx,14172,NA,08OB
13462,20714,84624,Skidegate Narrows Rear Range #2 - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,0,7,31,3568,4235,59,British Columbia,32,North Coast E,28,Skeena--Bulkley Valley,CA,Canada,53.14583,-132.25056,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020714-eng.aspx,14173,BC_138,08OB
13463,20715,84715,Trevan Rock - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,0,7,31,196,526,59,British Columbia,32,North Coast E,28,Skeena--Bulkley Valley,CA,Canada,52.16056,-131.09167,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020715-eng.aspx,14174,NA,08OB
13464,20716,84685,Tachie River Range Markers - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,0,0,0,476,782,59,British Columbia,15,Bulkley-Nechako C,28,Skeena--Bulkley Valley,CA,Canada,54.81667,-124.96667,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020716-eng.aspx,14175,BC_242,08JE
13465,20717,84684,Tachie River Range Approach Markers - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,0,0,0,476,782,59,British Columbia,15,Bulkley-Nechako C,28,Skeena--Bulkley Valley,CA,Canada,54.81667,-124.96667,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020717-eng.aspx,14176,BC_242,08JE
13466,20718,84151,Dave's Reef - Unassessed,C,NA,NA,NA,DFO,Fisheries and Oceans Canada,0,Federal Real Property,F,Federal,NA,NA,NA,NA,Unassessed,NA,0,NA,0,0,0,0,0,0,0,509,59,British Columbia,22,Stikine Region,28,Skeena--Bulkley Valley,CA,Canada,59.45,-134.15,7/24/2007,7/24/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00020718-eng.aspx,14177,BC_213,09AA
