,FederalSit,Property_N,Site_Name_,CurrentSit,ClassType,ClassEN,Location_E,DOB_Identi,DOB_Name_E,Involvemen,Involvem_1,PropertyTy,Property_1,Contaminan,Contamin_1,Contaminat,Management,Additional,Action_EN,NonFedOwne,NonFedOw_1,EstCubicMe,EstHectare,EstTonsCon,Population,Populati_1,Populati_2,Populati_3,Populati_4,Province_C,Province_N,Census_Sub,Census_S_1,Federal_El,Federal__1,Country_Co,Country_Na,Latitude,Longitude,Created,Modified,FCSILink_E,mi_prinx,PRV_WSHD_I,NHN_TWS_ID
1,2,2784,Stanley Park,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)",Soil,Office/Commercial/Industrial Operations,Additional assessment,NA,NA,0,NA,19000,2.3,36000,12242,222698,577199,1203070,1433369,35,Ontario,8,Ottawa,78,Ottawa--Vanier,CA,Canada,45.43952,-75.68897,10/19/2005,10/19/2005,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000002-eng.aspx,2,ON-02LA-01,02LA
2,4,2715,LeBreton Flats,C,2,Medium Priority for Action,NA,NCC,National Capital Commission,3,Federal activities,N,Non-Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III ESA and PQRA study is currrently under review by Health Canada and Environment Canada.,2,Municipal Government,0,0.4,0,15483,228369,647139,1221173,1438373,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41536,-75.71085,1/24/2006,1/24/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000004-eng.aspx,4,ON-02LB-03,02LA
3,6,2723,LeBreton Flats,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III ESA and PQRA study is currrently under review by Health Canada and Environment Canada.,0,NA,0,0.6096,0,17733,229271,646218,1220712,1438604,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41487,-75.70938,1/24/2006,1/24/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000006-eng.aspx,6,ON-02LB-03,02LA
4,7,4074,LeBreton Flats,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III ESA and PQRA study is currrently under review by Health Canada and Environment Canada.,0,NA,0,0.3555,0,16491,228787,648718,1222015,1438588,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41435,-75.71077,1/24/2006,1/24/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000007-eng.aspx,7,ON-02LB-03,02LA
5,8,2713,LeBreton Flats,C,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III ESA and PQRA study is currrently under review by Health Canada and Environment Canada.,0,NA,0,0.248,0,14927,227939,650155,1222696,1438479,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41437,-75.712,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000008-eng.aspx,8,ON-02LB-03,02LA
6,9,2721,LeBreton Flats,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III ESA and PQRA study is currrently under review by Health Canada and Environment Canada.,0,NA,0,0.1905,0,16333,228782,649421,1222454,1438622,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41405,-75.71106,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000009-eng.aspx,9,ON-02LB-03,02LA
7,10,2712,LeBreton Flats,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III ESA and PQRA study is currently under review by Health Canada and Environment Canada.,0,NA,0,0.327,0,14642,227595,651270,1223318,1438535,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41388,-75.71278,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000010-eng.aspx,10,ON-02LB-03,02LA
8,11,4069,LeBreton Flats,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III ESA and PQRA study is currrently under review by Health Canada and Environment Canada.,0,NA,0,0.6347,0,15685,228427,650522,1223058,1438630,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41367,-75.71183,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000011-eng.aspx,11,ON-02LB-03,02LA
9,12,2711,LeBreton Flats,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III Environmental Site Assessment and PQRA is currently under review by Health Canada and Environment Canada.,0,NA,0,1.8565,0,14030,226586,652775,1224334,1438702,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41307,-75.71423,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000012-eng.aspx,12,ON-02LB-03,02LA
10,13,2716,LeBreton Flats,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Continous Monitoring, Additional assessment",NA,Phase III ESA and PQRA study is currrently under review by Health Canada and Environment Canada.,0,NA,0,0.0535,0,15142,227701,651688,1223935,1438692,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.413,-75.713,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000013-eng.aspx,13,ON-02LB-03,02LA
11,14,1510,Lebreton South,C,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,13178,226134,653685,1224975,1439039,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41174,-75.7156,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000014-eng.aspx,14,ON-02LB-03,02LA
12,15,2662,LeBreton Flats - Nepean Bay,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,Additional assessment,NA,NA,0,NA,0,19.4615,0,9842,222339,654613,1225649,1439572,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41153,-75.71988,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000015-eng.aspx,15,ON-02LB-03,02LA
13,16,6217,Riverfront Park,A,2,Medium Priority for Action,NA,NCC,National Capital Commission,0,Federal Real Property,F,Federal,"Metal, metalloid, and organometallic, PAHs (polycyclic aromatic hydrocarbon), PHCs (petroleum hydrocarbons)","Groundwater, Soil",Office/Commercial/Industrial Operations,"Remediation, Continous Monitoring, Additional assessment",NA,NA,0,NA,0,8.9304,0,9311,223860,651506,1223829,1438552,35,Ontario,8,Ottawa,75,Ottawa Centre,CA,Canada,45.41574,-75.717,2/6/2006,2/6/2006,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000016-eng.aspx,16,ON-02LB-03,02LA
14,17,0,"THOMPSON-LUNDMARK MINE (WACO, KIM)",A,1,High Priority for Action,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,"Metal, metalloid, and organometallic, PHCs (petroleum hydrocarbons)","Sediment, Soil, Surface water",Former Mineral Exploration Sites,Additional assessment,NA,NA,0,NA,1100,0,0,0,15,60,233,11856,61,Northwest Territories,97,"Region 6, Unorganized",1,Northwest Territories,CA,Canada,62.606667,-113.465556,9/25/2007,9/25/2007,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000017-eng.aspx,17,NA,07SB
15,18,0,CORONATION GULF,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,11,250,752,1919,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.828889,-115.006389,1/31/2008,1/31/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000018-eng.aspx,18,NA,10PC
16,19,0,CORONATION GULF,C,N,Not a Priority for Action,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,Former Mineral Exploration Sites,NA,NA,NA,0,NA,0,0,0,11,250,752,1919,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.828889,-115.006389,1/31/2008,1/31/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000019-eng.aspx,19,NA,10PC
17,20,0,CORONATION GULF,C,N,Not a Priority for Action,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,Landfills/Waste Sites,NA,NA,NA,0,NA,0,0,0,11,250,752,1919,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.828889,-115.006389,1/31/2008,1/31/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000020-eng.aspx,20,NA,10PC
18,21,0,VICTORIA ISLAND L17,C,2,Medium Priority for Action,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,PHCs (petroleum hydrocarbons),Soil,NA,Remediation,NA,NA,0,NA,4,0,0,0,0,0,0,0,61,Northwest Territories,63,"Region 1, Unorganized",1,Northwest Territories,CA,Canada,71.92217,-113.04349,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000021-eng.aspx,21,NA,10TC
19,22,0,BOREALIS EAST & WEST,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,62,Nunavut,33,"Kivalliq, Unorganized",1,Nunavut,CA,Canada,61.2,-97.916667,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000022-eng.aspx,22,NA,06HD
20,23,0,GENERATOR LK./INUGSUIN FIORD,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,PHCs (petroleum hydrocarbons),Soil,Former Mineral Exploration Sites,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,62,Nunavut,30,"Qikiqtaaluk, Unorganized",1,Nunavut,CA,Canada,71.689,-69.609,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000023-eng.aspx,23,NA,NA
21,24,0,COPPERMINE/DISMAL LAKE #1,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,66.851389,-116.304444,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000024-eng.aspx,24,NA,10PC
22,25,0,CORONATION GULF/FOUR MILE BAY,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,Former Mineral Exploration Sites,NA,NA,NA,0,NA,0,0,0,5,149,650,2110,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.847778,-115.295,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000025-eng.aspx,25,NA,10OC
23,26,0,CORONATION GULF/S-LAKE,C,N,Not a Priority for Action,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,Former Mineral Exploration Sites,NA,NA,NA,0,NA,0,0,0,0,0,0,0,143,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,68.647222,-105.595833,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000026-eng.aspx,26,NA,10QC
24,27,0,CORONATION GULF/S-LAKE,C,N,Not a Priority for Action,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,Former Mineral Exploration Sites,NA,NA,NA,0,NA,0,0,0,0,0,0,0,143,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,68.647222,-105.595833,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000027-eng.aspx,27,NA,10QC
25,28,0,CORONATION GULF,C,N,Not a Priority for Action,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,Former Mineral Exploration Sites,NA,NA,NA,0,NA,0,0,0,11,250,752,1919,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.828889,-115.006389,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000028-eng.aspx,28,NA,10PC
26,29,0,CORONATION GULF,C,N,Not a Priority for Action,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,Former Mineral Exploration Sites,NA,NA,NA,0,NA,0,0,0,11,250,752,1919,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.828889,-115.006389,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000029-eng.aspx,29,NA,10PC
27,30,0,LAC LA MARTRE AREA,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,67.830278,-118.187778,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000030-eng.aspx,30,NA,10OC
28,31,0,FOUR MILE BAY,C,N,Not a Priority for Action,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,Former Mineral Exploration Sites,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,71.388611,-107.48,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000031-eng.aspx,31,NA,10TD
29,32,0,NAPATUKTUK RIVER #3,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,12,185,1292,2110,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,67.820556,-114.7275,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000032-eng.aspx,32,NA,10QA
30,33,0,CORONATION GULF,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,11,250,752,1919,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.828889,-115.006389,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000033-eng.aspx,33,NA,10PC
31,34,0,NAPATUKTUK RIVER #1,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,12,185,1292,2110,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,67.820556,-114.7275,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000034-eng.aspx,34,NA,10QA
32,35,0,NAPATUKTUK RIVER #2,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,12,185,1292,2110,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,67.820556,-114.7275,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000035-eng.aspx,35,NA,10QA
33,36,0,NEAR COPPERMINE RIVER,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,67.080278,-115.189167,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000036-eng.aspx,36,NA,10PC
34,38,0,RICHARDSON BAY,C,N,Not a Priority for Action,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,Former Mineral Exploration Sites,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,65.6875,-110.481944,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000038-eng.aspx,38,NA,10RA
35,39,0,CORONATION GULF #19,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,6,112,394,1570,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.816389,-114.820833,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000039-eng.aspx,39,NA,10QA
36,40,0,CORONATION GULF #8,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,2,95,365,1535,2110,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,67.819167,-114.81,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000040-eng.aspx,40,NA,10QA
37,41,0,COPPERMINE/KUGARYUAK RIVER,C,N,Not a Priority for Action,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,PHCs (petroleum hydrocarbons),Not Available,Landfills/Waste Sites,Additional assessment,NA,NA,0,NA,0.5,0,0,0,0,0,0,0,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,67.619167,-113.523889,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000041-eng.aspx,41,NA,10QA
38,42,0,COPPERMINE/RUVIERE LAKE,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,Fuel Related Practices,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,67.213333,-117.470556,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000042-eng.aspx,42,NA,10JE
39,43,0,CORONATION GULF #2,C,N,Not a Priority for Action,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,Former Mineral Exploration Sites,NA,NA,NA,0,NA,0,0,0,0,50,283,1425,2110,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,67.817778,-114.771667,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000043-eng.aspx,43,NA,10QA
40,44,0,CORONATION GULF #4,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,11,262,678,1847,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.823611,-114.956944,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000044-eng.aspx,44,NA,10QA
41,45,0,CORONATION GULF #3,C,N,Not a Priority for Action,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,Former Mineral Exploration Sites,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,65.98,-112.308889,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000045-eng.aspx,45,NA,10PC
42,46,0,CORONATION GULF #9,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,11,250,618,1762,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.809167,-114.910278,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000046-eng.aspx,46,NA,10QA
43,47,0,CORONATION GULF #10,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,11,273,733,1871,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.819444,-114.976111,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000047-eng.aspx,47,NA,10QA
44,48,0,CORONATION GULF #11,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,11,270,712,1865,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.821944,-114.970556,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000048-eng.aspx,48,NA,10QA
45,49,0,CORONATION GULF #12,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,11,271,687,1840,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.819722,-114.954722,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000049-eng.aspx,49,NA,10QA
46,50,0,CORONATION GULF #13,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,11,267,681,1842,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.821667,-114.955,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000050-eng.aspx,50,NA,10QA
47,51,0,CORONATION GULF #14,C,N,Not a Priority for Action,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,Landfills/Waste Sites,NA,NA,NA,0,NA,0,0,0,11,249,732,1914,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.831111,-115.000833,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000051-eng.aspx,51,NA,10PC
48,52,0,CORONATION GULF #15,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,2,96,367,1536,2110,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,67.8175,-114.809722,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000052-eng.aspx,52,NA,10QA
49,53,0,CORONATION GULF #16,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,11,156,472,1646,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.808333,-114.848333,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000053-eng.aspx,53,NA,10QA
50,54,0,CORONATION GULF #17,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,50,282,1425,2110,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,67.819167,-114.772222,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000054-eng.aspx,54,NA,10QA
51,55,0,CORONATION GULF #18,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,1,86,351,1515,2110,62,Nunavut,98,"Kitikmeot, Unorganized",1,Nunavut,CA,Canada,67.8175,-114.8025,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000055-eng.aspx,55,NA,10QA
52,56,0,CORONATION GULF #6,C,NA,NA,NA,NOR,Crown-Indigenous Relations and Northern Affairs Canada,9,Other Canada Lands,C,Canada Lands,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,11,264,760,1897,2110,62,Nunavut,59,Kugluktuk,1,Nunavut,CA,Canada,67.821944,-114.994167,2/13/2008,2/13/2008,https://www.tbs-sct.gc.ca/fcsi-rscf/fsi-isf/00000056-eng.aspx,56,NA,10PC
