value,count,prop,class,col
2,302014,55.2,Trees,darkgreen
11,137781,25.18,Rangeland,green
4,62712,11.46,Flooded vegetation,lightgreen
1,36593,6.69,Water,blue
8,4593,0.84,Bare ground,burlywood
9,3433,0.63,Snow/Ice,black
7,38,0.01,Built Area,red
