Site_ID,Latitude,Longitude,WSCSSDA,PRPWSHID,WQI,WQI_category
3008,49.16931,-119.5639,08NM,BC_161,NA,NA
3009,49.1694,-122.4739,08MH,BC_103,NA,NA
3010,49.1694,-122.4703,08MH,BC_103,NA,NA
3011,49.16956,-122.2791,08MH,BC_103,NA,NA
3012,49.1696,-118.976,08NN,BC_78,NA,NA
3013,49.16968,-122.2483,08MH,BC_103,NA,NA
3014,49.16994,-123.8013,08HA,BC_36,NA,NA
3015,49.17,-122.7386,08MH,BC_103,NA,NA
3016,49.1701,-122.2785,08MH,BC_103,NA,NA
3017,49.17061,-122.2434,08MH,BC_103,NA,NA
3018,49.1708,-122.0092,08MG,BC_63,NA,NA
3019,49.1711,-121.8272,08MG,BC_28,NA,NA
3020,49.17111,-122.2436,08MH,BC_103,NA,NA
3021,49.1715,-121.8273,08MG,BC_28,NA,NA
3022,49.17152,-122.651,08MH,BC_103,NA,NA
3023,49.17157,-122.4911,08MH,BC_103,NA,NA
3024,49.1716,-114.9558,08NK,BC_46,NA,NA
3025,49.17183,-122.5759,08MH,BC_103,NA,NA
3026,49.1719,-125.8594,08HC,BC_29,NA,NA
3027,49.1719,-123.79,08HA,BC_36,NA,NA
3028,49.1719,-122.0083,08MG,BC_63,NA,NA
3029,49.1721,-122.29,08MH,BC_103,NA,NA
3030,49.1722,-123.9933,08HB,BC_165,NA,NA
3031,49.17231,-98.98747,05OB,NA,NA,NA
3032,49.1724,-122.404,08MH,BC_103,NA,NA
3033,49.1724,-122.2843,08MH,BC_103,NA,NA
3034,49.17257,-124.0352,08HB,BC_165,NA,NA
3035,49.17266,-101.03077,05NF,NA,NA,NA
3036,49.1728,-122.7553,08MH,BC_103,NA,NA
3037,49.1731,-122.0078,08MG,BC_63,NA,NA
3038,49.1736,-118.6092,08NN,BC_78,NA,NA
3039,49.17375,-123.9462,08HB,BC_165,NA,NA
3040,49.17386,-122.4242,08MH,BC_103,NA,NA
3041,49.1739,-122.394,08MH,BC_103,NA,NA
3042,49.17394,-122.4284,08MH,BC_103,NA,NA
3043,49.174,-122.3158,08MH,BC_103,NA,NA
3044,49.17402,-122.2841,08MH,BC_103,NA,NA
3045,49.1743,-122.2679,08MH,BC_103,NA,NA
3046,49.17455,-122.5776,08MH,BC_103,NA,NA
3047,49.1747,-119.5383,08NM,BC_161,NA,NA
3048,49.17471,-124.0287,08HB,BC_165,NA,NA
3049,49.175,-123.8417,08HA,BC_36,NA,NA
3050,49.175,-119.7353,08NL,BC_184,NA,NA
3051,49.175,-118.6096,08NN,BC_78,NA,NA
3052,49.175,-117.2738,08NE,BC_96,NA,NA
3053,49.1753,-122.1478,08MG,BC_63,NA,NA
3054,49.1754,-117.4806,08NE,BC_96,NA,NA
3055,49.1756,-114.9594,08NK,BC_46,NA,NA
3056,49.17569,-118.2996,08NN,BC_78,NA,NA
3057,49.1758,-122.5931,08MH,BC_103,NA,NA
3058,49.176,-121.8057,08MG,BC_28,NA,NA
3059,49.17618,-122.383,08MH,BC_103,NA,NA
3060,49.17632,-96.7638,05OD,NA,NA,NA
3061,49.1764,-124.6153,08HB,BC_165,NA,NA
3062,49.17646,-122.436,08MH,BC_103,NA,NA
3063,49.1766,-122.2809,08MH,BC_103,NA,NA
3064,49.1766,-121.852,08MG,BC_28,73.71272697844688,Fair
