value,count,prop,class,col
4,183862,93.62,Flooded vegetation,lightgreen
11,6497,3.31,Rangeland,green
1,4015,2.04,Water,blue
2,2014,1.03,Trees,darkgreen
9,1,0,Snow/Ice,black
