value,count,prop,class,col
2,580866,48.93,Trees,darkgreen
4,332835,28.04,Flooded vegetation,lightgreen
11,243527,20.51,Rangeland,green
1,27478,2.31,Water,blue
8,2362,0.2,Bare ground,burlywood
7,10,0,Built Area,red
9,3,0,Snow/Ice,black
