value,count,prop,class,col
2,412322,66.79,Trees,darkgreen
11,138230,22.39,Rangeland,green
1,63420,10.27,Water,blue
4,3340,0.54,Flooded vegetation,lightgreen
8,2,0,Bare ground,burlywood
