value,count,prop,class,col
2,261505,58.37,Trees,darkgreen
11,144056,32.15,Rangeland,green
1,22970,5.13,Water,blue
4,19368,4.32,Flooded vegetation,lightgreen
8,117,0.03,Bare ground,burlywood
9,33,0.01,Snow/Ice,black
7,1,0,Built Area,red
