,comments,useanalysi,cabd_id,fallnameen,municipali,completele,passabilit,waterbodyn,waterbody1,completel1,lastmodifi,passabili1,fallheight,datasource,featuretyp,provincete,provincet1,fallnamefr,PRPWSHID,NHN4DWSH,Longitude,Latitude
9393,NA,1,4f664495-b624-4bec-9f15-3eaaf1a2286f,NA,Peace River D,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/4f664495-b624-4bec-9f15-3eaaf1a2286f,waterfalls,bc,British Columbia,NA,BC_82,07FD,-120.4851479,55.65197889
9394,NA,1,4f83e56c-0bea-4ed2-9a71-795752a113ab,NA,Alberni-Clayoquot C,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/4f83e56c-0bea-4ed2-9a71-795752a113ab,waterfalls,bc,British Columbia,NA,NA,08HC,-126.2258086,49.3664264
9395,NA,1,4fb4ffba-a57e-470c-97b0-38bf00c430f6,NA,Strathcona A,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/4fb4ffba-a57e-470c-97b0-38bf00c430f6,waterfalls,bc,British Columbia,NA,NA,08HE,-127.4658536,50.07958489
9396,NA,0,4fc89e1b-f65b-4d94-b693-908104a50614,NA,Bulkley-Nechako E,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/4fc89e1b-f65b-4d94-b693-908104a50614,waterfalls,bc,British Columbia,NA,BC_114,08JAB,-125.0075016,53.45038553
9397,NA,1,4ff3dc4c-2c3a-4869-94bc-a7fcf05b313a,NA,North Coast A,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/4ff3dc4c-2c3a-4869-94bc-a7fcf05b313a,waterfalls,bc,British Columbia,NA,BC_245,08DBA,-130.3043831,54.53697114
9398,NA,1,502c8a80-0a56-4335-8dc9-f317320a59c7,NA,Kitimat-Stikine A,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/502c8a80-0a56-4335-8dc9-f317320a59c7,waterfalls,bc,British Columbia,NA,NA,08DBA,-129.7565015,55.44966299
9399,NA,1,519ec233-6a06-4307-980f-854cb35bc75c,NA,North Coast A,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/519ec233-6a06-4307-980f-854cb35bc75c,waterfalls,bc,British Columbia,NA,BC_245,08FG,-130.7545494,54.58481454
9400,NA,1,8bf253da-b015-40d3-bbf6-e96d831a077a,NA,Thompson-Nicola I (Blue Sky Country),1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/8bf253da-b015-40d3-bbf6-e96d831a077a,waterfalls,bc,British Columbia,NA,BC_179,08MEA,-122.1922929,50.12760979
9401,NA,1,19d0de35-29f7-4406-9059-fac84772d128,NA,Thompson-Nicola I (Blue Sky Country),2,Barrier,Cottonwood Creek,NA,Minimal,6/8/2022,1,18,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/19d0de35-29f7-4406-9059-fac84772d128,waterfalls,bc,British Columbia,NA,BC_179,08MEA,-121.9630525,50.3089803
9402,NA,1,32573ddf-c4ae-4afa-a474-f5f870d54101,NA,Kitimat-Stikine A,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/32573ddf-c4ae-4afa-a474-f5f870d54101,waterfalls,bc,British Columbia,NA,NA,08DBA,-129.6568921,55.43227625
9403,NA,1,325942c5-54d4-40ef-a6fe-6bc7f0e9c8b2,NA,North Coast A,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/325942c5-54d4-40ef-a6fe-6bc7f0e9c8b2,waterfalls,bc,British Columbia,NA,BC_245,08FG,-130.7915426,54.490351
9404,NA,1,52a02f10-da6d-48df-8228-1e85ed5e32f7,NA,Alberni-Clayoquot C,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/52a02f10-da6d-48df-8228-1e85ed5e32f7,waterfalls,bc,British Columbia,NA,BC_29,08HC,-126.1061593,49.43074942
9405,NA,1,533f9078-3cef-4671-a76a-53b6c92ce70a,NA,Columbia-Shuswap B,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/533f9078-3cef-4671-a76a-53b6c92ce70a,waterfalls,bc,British Columbia,NA,BC_172,08ND,-118.50032,51.50332114
9406,NA,1,53856221-e856-49cd-a326-9a3450ed8ada,NA,Peace River E,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/53856221-e856-49cd-a326-9a3450ed8ada,waterfalls,bc,British Columbia,NA,BC_144,07FB,-121.4460229,54.88085909
9407,NA,1,546a50b3-5899-4178-a455-4a4d90f8470a,NA,Mount Waddington A,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/546a50b3-5899-4178-a455-4a4d90f8470a,waterfalls,bc,British Columbia,NA,BC_180,08GF,-127.0924318,51.02964085
9408,NA,1,5470ea3d-8105-4064-8652-467cffff2140,NA,Sunshine Coast F,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5470ea3d-8105-4064-8652-467cffff2140,waterfalls,bc,British Columbia,NA,NA,08GB,-123.4392344,49.51496893
9409,NA,1,559b9806-21a1-4e2e-80f0-f73ee593c0cc,NA,Columbia-Shuswap B,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/559b9806-21a1-4e2e-80f0-f73ee593c0cc,waterfalls,bc,British Columbia,NA,BC_172,08ND,-118.353924,51.34116209
9410,NA,1,1ca362db-08f5-409d-8750-8d078ee937f7,NA,Thompson-Nicola N (Beautiful Nicola Valley - South),1,Unknown,Voght Creek,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/1ca362db-08f5-409d-8750-8d078ee937f7,waterfalls,bc,British Columbia,NA,BC_113,08LG,-120.9055292,49.9109989
9411,NA,1,bf7d50ae-f062-43e9-bd41-09063318b4bb,NA,Thompson-Nicola N (Beautiful Nicola Valley - South),1,Unknown,Mine Creek,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/bf7d50ae-f062-43e9-bd41-09063318b4bb,waterfalls,bc,British Columbia,NA,BC_113,08LG,-121.0390181,49.68018919
9412,NA,1,00566f0d-0077-4a61-b8f9-5c5026787b80,Angels Staircase Falls,Columbia-Shuswap A,2,Unknown,NA,NA,Minimal,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/00566f0d-0077-4a61-b8f9-5c5026787b80,waterfalls,bc,British Columbia,Angels Staircase Falls,BC_79,08NA,-116.4871268,51.518022
9413,NA,1,008ac1bd-5151-4e7e-801c-7a51dd71ad59,NA,Kitimat-Stikine C (Part 2),1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/008ac1bd-5151-4e7e-801c-7a51dd71ad59,waterfalls,bc,British Columbia,NA,BC_80,08FD,-128.5385699,53.32164647
9414,NA,1,0096cf8b-855d-46d3-ab32-25fa5e45416c,NA,Fraser-Fort George F,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/0096cf8b-855d-46d3-ab32-25fa5e45416c,waterfalls,bc,British Columbia,NA,BC_65,08KB,-121.0118068,54.25609877
9415,NA,1,32ef9f2f-f024-4a32-a04c-caf834ab6583,NA,North Coast C,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/32ef9f2f-f024-4a32-a04c-caf834ab6583,waterfalls,bc,British Columbia,NA,NA,08FG,-130.3589639,53.83154313
9416,NA,1,00bcd1be-373e-4793-be67-5baba69e92f0,NA,Strathcona C,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/00bcd1be-373e-4793-be67-5baba69e92f0,waterfalls,bc,British Columbia,NA,BC_207,08GC,-124.7779873,50.52316648
9417,NA,1,02c8e311-7746-4795-8e4b-38aa100345c2,NA,Okanagan-Similkameen H,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/02c8e311-7746-4795-8e4b-38aa100345c2,waterfalls,bc,British Columbia,NA,BC_184,08NL,-121.0000125,49.3941521
9418,NA,1,55e9445e-f866-40df-a485-6a3fe0252e03,NA,Alberni-Clayoquot C,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/55e9445e-f866-40df-a485-6a3fe0252e03,waterfalls,bc,British Columbia,NA,BC_29,08HC,-125.8104569,49.33558235
9419,NA,1,566d02fc-c1a1-4d01-9b4a-b64e86f846a2,NA,Columbia-Shuswap B,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/566d02fc-c1a1-4d01-9b4a-b64e86f846a2,waterfalls,bc,British Columbia,NA,BC_172,08ND,-118.4454991,51.41232413
9420,NA,1,56e14fdb-47f3-4e25-be08-95bd0b1e710e,NA,Alberni-Clayoquot C,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/56e14fdb-47f3-4e25-be08-95bd0b1e710e,waterfalls,bc,British Columbia,NA,BC_29,08HC,-126.2745213,49.37334378
9421,NA,1,57077bdc-2d11-4b96-8839-6832c0bd45aa,NA,Bulkley-Nechako C,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/57077bdc-2d11-4b96-8839-6832c0bd45aa,waterfalls,bc,British Columbia,NA,BC_193,08JE,-124.8516869,54.67335133
9422,NA,1,5745fa12-5418-49ad-9158-6779c8d0ccbd,NA,Central Coast A,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/5745fa12-5418-49ad-9158-6779c8d0ccbd,waterfalls,bc,British Columbia,NA,NA,08FAB,-128.1032462,51.77084203
9423,NA,1,58c9cc4c-b657-4c9c-8697-fec2149b83af,NA,Stikine Region,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/58c9cc4c-b657-4c9c-8697-fec2149b83af,waterfalls,bc,British Columbia,NA,BC_58,09AE,-132.6288909,59.89512229
9424,NA,1,58e53443-e632-4b76-9087-304134f89d1d,NA,Kitimat-Stikine A,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/58e53443-e632-4b76-9087-304134f89d1d,waterfalls,bc,British Columbia,NA,BC_92,08DBA,-129.8366835,55.40058045
9425,NA,1,2536022b-0cfc-4185-8295-8e219fdc1cd8,NA,East Kootenay C,1,Unknown,Yahk River,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/2536022b-0cfc-4185-8295-8e219fdc1cd8,waterfalls,bc,British Columbia,NA,BC_90,08NH,-115.6912362,49.02039943
9426,NA,1,00d6dfc0-d942-487c-b3d1-80a27768f994,NA,Columbia-Shuswap A,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/00d6dfc0-d942-487c-b3d1-80a27768f994,waterfalls,bc,British Columbia,NA,BC_30,08NB,-117.8025296,52.13071612
9427,NA,1,010dc096-501b-4394-ae1b-886a46256561,NA,Thompson-Nicola A (Wells Gray Country),1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/010dc096-501b-4394-ae1b-886a46256561,waterfalls,bc,British Columbia,NA,BC_145,08LA,-119.9209617,52.49365223
9428,NA,1,0116f2c5-dd74-40eb-91f2-191a5c05a26b,NA,Stikine Region,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/0116f2c5-dd74-40eb-91f2-191a5c05a26b,waterfalls,bc,British Columbia,NA,BC_95,08BE,-136.4119863,59.81063515
9429,NA,1,01c7586a-6bca-4240-af3b-ed270d48cfb2,NA,Columbia-Shuswap B,1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/01c7586a-6bca-4240-af3b-ed270d48cfb2,waterfalls,bc,British Columbia,NA,BC_172,08ND,-118.9261954,51.85438569
9430,NA,1,01c8d327-dfa1-4b94-94d3-a2f61dc4937d,NA,Kitimat-Stikine C (Part 2),1,Unknown,NA,NA,Unverified,6/8/2022,4,0,https://cabd-web.azurewebsites.net/cabd-api/features/datasources/01c8d327-dfa1-4b94-94d3-a2f61dc4937d,waterfalls,bc,British Columbia,NA,BC_84,08FE,-127.4277719,52.90944696
