value,count,prop,class,col
2,485681,91.19,Trees,darkgreen
11,30632,5.75,Rangeland,green
1,16257,3.05,Water,blue
4,20,0,Flooded vegetation,lightgreen
8,10,0,Bare ground,burlywood
