value,count,prop,class,col
2,1325768,85.89,Trees,darkgreen
11,196968,12.76,Rangeland,green
1,12647,0.82,Water,blue
5,5879,0.38,Crops,yellow
7,977,0.06,Built Area,red
8,901,0.06,Bare ground,burlywood
4,374,0.02,Flooded vegetation,lightgreen
9,6,0,Snow/Ice,black
