value,count,prop,class,col
2,443073,74.7,Trees,darkgreen
1,102501,17.28,Water,blue
11,46559,7.85,Rangeland,green
4,763,0.13,Flooded vegetation,lightgreen
7,231,0.04,Built Area,red
8,33,0.01,Bare ground,burlywood
5,4,0,Crops,yellow
