value,count,prop,class,col
2,374007,84.17,Trees,darkgreen
1,40823,9.19,Water,blue
11,21188,4.77,Rangeland,green
5,4852,1.09,Crops,yellow
7,3224,0.73,Built Area,red
4,183,0.04,Flooded vegetation,lightgreen
8,94,0.02,Bare ground,burlywood
9,1,0,Snow/Ice,black
