NPRI_Site_ID,Substance_Name,release_type,Reporting_Year
4,Chlorine,Releases to Water Bodies,2008
4,Chlorine,Sum of release to all media (<1tonne),1998
4,"Dibenz[a,h]anthracene",Releases to Air,2008
4,"Dibenz[a,j]acridine",Releases to Air,2008
4,"Dibenzo[a,i]pyrene",Releases to Air,2008
4,Dioxins and furans - total,Releases to Air,2001
4,Fluoranthene,Releases to Air,2009
4,Fluorene,Releases to Air,2009
4,Fluorene,Releases to Water Bodies,2009
4,"Indeno[1,2,3-cd]pyrene",Releases to Air,2008
4,Lead (and its compounds),Releases to Air,2009
4,Lead (and its compounds),Releases to Water Bodies,2009
4,Manganese (and its compounds),Releases to Air,2008
4,Manganese (and its compounds),Releases to Water Bodies,2008
4,Mercury (and its compounds),Releases to Air,2002
4,Mercury (and its compounds),Releases to Water Bodies,2002
4,Methanol,Releases to Air,2008
4,Methanol,Releases to Water Bodies,2002
4,Nitrate ion in solution at pH >= 6.0,Releases to Water Bodies,2009
4,Nitrogen oxides (expressed as nitrogen dioxide),Releases to Air,2009
4,Perylene,Releases to Air,2008
4,Phenanthrene,Releases to Air,2009
4,Phosphorus (total),Releases to Water Bodies,2009
4,PM10 - Particulate Matter <= 10 Micrometers,Releases to Air,2009
4,PM2.5 - Particulate Matter <= 2.5 Micrometers,Releases to Air,2009
4,Pyrene,Releases to Air,2009
4,Sulphur dioxide,Releases to Air,2009
4,Sulphuric acid,Releases to Air,2009
4,Sulphuric acid,Releases to Water Bodies,1995
4,Total particulate matter,Releases to Air,2009
4,Volatile Organic Compounds (VOCs),Releases to Air,2009
7,Ammonia (total),Sum of release to all media (<1tonne),2007
7,Diethanolamine (and its salts),Sum of release to all media (<1tonne),1998
7,Epichlorohydrin,Sum of release to all media (<1tonne),2003
7,Formaldehyde,Releases to Air,2007
7,Formaldehyde,Releases to Water Bodies,1994
7,Formic acid,Sum of release to all media (<1tonne),2007
7,Methanol,Releases to Air,2007
7,Methanol,Releases to Land,1996
7,Phenol (and its salts),Sum of release to all media (<1tonne),2007
7,Sulphuric acid,Sum of release to all media (<1tonne),2003
9,Ammonia (total),Sum of release to all media (<1tonne),2003
9,Formaldehyde,Releases to Air,2000
9,Formaldehyde,Sum of release to all media (<1tonne),2003
9,Formic acid,Sum of release to all media (<1tonne),2003
9,Methanol,Sum of release to all media (<1tonne),2003
11,Ammonia (total),Releases to Air,2021
11,Ammonia (total),Sum of release to all media (<1tonne),2016
11,Ammonium sulfate (solution),Sum of release to all media (<1tonne),1994
11,Bisphenol A,Releases to Air,2021
11,Carbon monoxide,Releases to Air,2021
11,Diethanolamine (and its salts),Sum of release to all media (<1tonne),2006
11,Ethylene glycol,Releases to Air,2021
11,Formaldehyde,Releases to Air,2021
11,Methanol,Releases to Air,2021
11,Nitrogen oxides (expressed as nitrogen dioxide),Releases to Air,2021
