value,count,prop,class,col
2,186367,58.84,Trees,darkgreen
11,76540,24.17,Rangeland,green
8,34826,11,Bare ground,burlywood
5,8574,2.71,Crops,yellow
9,7293,2.3,Snow/Ice,black
1,1837,0.58,Water,blue
7,1284,0.41,Built Area,red
4,12,0,Flooded vegetation,lightgreen
