value,count,prop,class,col
2,346133,73.82,Trees,darkgreen
1,56960,12.15,Water,blue
11,49899,10.64,Rangeland,green
7,5414,1.15,Built Area,red
4,5409,1.15,Flooded vegetation,lightgreen
5,5019,1.07,Crops,yellow
8,38,0.01,Bare ground,burlywood
