value,count,prop,class,col
2,163924,80.99,Trees,darkgreen
11,13350,6.6,Rangeland,green
4,12648,6.25,Flooded vegetation,lightgreen
5,8866,4.38,Crops,yellow
1,1979,0.98,Water,blue
7,1613,0.8,Built Area,red
8,29,0.01,Bare ground,burlywood
