value,count,prop,class,col
2,715179,51.37,Trees,darkgreen
9,355712,25.55,Snow/Ice,black
11,266527,19.14,Rangeland,green
8,33867,2.43,Bare ground,burlywood
1,16199,1.16,Water,blue
4,4793,0.34,Flooded vegetation,lightgreen
