value,count,prop,class,col
2,424489,44.85,Trees,darkgreen
11,298923,31.58,Rangeland,green
8,193862,20.48,Bare ground,burlywood
9,17422,1.84,Snow/Ice,black
1,8352,0.88,Water,blue
4,3337,0.35,Flooded vegetation,lightgreen
7,40,0,Built Area,red
