value,count,prop,class,col
11,712027,45.1,Rangeland,green
2,468906,29.7,Trees,darkgreen
1,322679,20.44,Water,blue
4,47218,2.99,Flooded vegetation,lightgreen
8,14533,0.92,Bare ground,burlywood
9,13352,0.85,Snow/Ice,black
7,63,0,Built Area,red
5,26,0,Crops,yellow
