value,count,prop,class,col
7,77058,38.48,Built Area,red
5,58498,29.21,Crops,yellow
2,41955,20.95,Trees,darkgreen
1,11168,5.58,Water,blue
11,11051,5.52,Rangeland,green
8,467,0.23,Bare ground,burlywood
4,45,0.02,Flooded vegetation,lightgreen
