value,count,prop,class,col
5,70076,53.8,Crops,yellow
2,46660,35.82,Trees,darkgreen
7,7070,5.43,Built Area,red
11,5571,4.28,Rangeland,green
1,745,0.57,Water,blue
8,69,0.05,Bare ground,burlywood
4,65,0.05,Flooded vegetation,lightgreen
