value,count,prop,class,col
2,438545,46.95,Trees,darkgreen
11,317686,34.01,Rangeland,green
8,92861,9.94,Bare ground,burlywood
5,27741,2.97,Crops,yellow
1,26089,2.79,Water,blue
7,18913,2.02,Built Area,red
9,11141,1.19,Snow/Ice,black
4,1169,0.13,Flooded vegetation,lightgreen
