value,count,prop,class,col
4,293172,57.96,Flooded vegetation,lightgreen
11,169188,33.45,Rangeland,green
2,31090,6.15,Trees,darkgreen
9,9248,1.83,Snow/Ice,black
1,3092,0.61,Water,blue
