value,count,prop,class,col
2,381079,81.46,Trees,darkgreen
11,65458,13.99,Rangeland,green
1,20364,4.35,Water,blue
4,782,0.17,Flooded vegetation,lightgreen
8,110,0.02,Bare ground,burlywood
9,24,0.01,Snow/Ice,black
