value,count,prop,class,col
5,69234,59.52,Crops,yellow
2,24238,20.84,Trees,darkgreen
7,11195,9.62,Built Area,red
1,6638,5.71,Water,blue
11,4577,3.93,Rangeland,green
4,357,0.31,Flooded vegetation,lightgreen
8,89,0.08,Bare ground,burlywood
