value,count,prop,class,col
2,442409,69.47,Trees,darkgreen
11,97845,15.36,Rangeland,green
1,94848,14.89,Water,blue
4,1616,0.25,Flooded vegetation,lightgreen
7,121,0.02,Built Area,red
8,37,0.01,Bare ground,burlywood
9,3,0,Snow/Ice,black
