value,count,prop,class,col
2,154695,77.27,Trees,darkgreen
1,41684,20.82,Water,blue
11,1828,0.91,Rangeland,green
7,1193,0.6,Built Area,red
4,807,0.4,Flooded vegetation,lightgreen
8,4,0,Bare ground,burlywood
