value,count,prop,class,col
4,330815,83.49,Flooded vegetation,lightgreen
11,45093,11.38,Rangeland,green
1,15975,4.03,Water,blue
2,4092,1.03,Trees,darkgreen
8,209,0.05,Bare ground,burlywood
9,29,0.01,Snow/Ice,black
