value,count,prop,class,col
2,397399,56.15,Trees,darkgreen
11,168583,23.82,Rangeland,green
1,140015,19.78,Water,blue
4,1762,0.25,Flooded vegetation,lightgreen
9,22,0,Snow/Ice,black
8,1,0,Bare ground,burlywood
