value,count,prop,class,col
2,231929,76.9,Trees,darkgreen
9,41342,13.71,Snow/Ice,black
11,21390,7.09,Rangeland,green
8,4103,1.36,Bare ground,burlywood
1,2803,0.93,Water,blue
4,20,0.01,Flooded vegetation,lightgreen
5,15,0,Crops,yellow
10,1,0,Clouds,grey
