value,count,prop,class,col
2,415211,75.38,Trees,darkgreen
11,70455,12.79,Rangeland,green
1,64510,11.71,Water,blue
4,389,0.07,Flooded vegetation,lightgreen
7,220,0.04,Built Area,red
8,56,0.01,Bare ground,burlywood
