value,count,prop,class,col
2,353718,83.82,Trees,darkgreen
1,48296,11.45,Water,blue
11,19438,4.61,Rangeland,green
4,485,0.11,Flooded vegetation,lightgreen
8,23,0.01,Bare ground,burlywood
7,17,0,Built Area,red
