value,count,prop,class,col
2,237511,48.68,Trees,darkgreen
11,109412,22.42,Rangeland,green
5,73590,15.08,Crops,yellow
1,48056,9.85,Water,blue
4,18173,3.72,Flooded vegetation,lightgreen
7,1178,0.24,Built Area,red
8,9,0,Bare ground,burlywood
9,2,0,Snow/Ice,black
