value,count,prop,class,col
2,181175,75.79,Trees,darkgreen
11,34828,14.57,Rangeland,green
5,16468,6.89,Crops,yellow
7,4260,1.78,Built Area,red
1,2103,0.88,Water,blue
8,196,0.08,Bare ground,burlywood
4,34,0.01,Flooded vegetation,lightgreen
