value,count,prop,class,col
11,116533,53.07,Rangeland,green
5,101506,46.22,Crops,yellow
1,1020,0.46,Water,blue
7,424,0.19,Built Area,red
4,56,0.03,Flooded vegetation,lightgreen
8,48,0.02,Bare ground,burlywood
2,16,0.01,Trees,darkgreen
