value,count,prop,class,col
2,415687,83.57,Trees,darkgreen
11,52564,10.57,Rangeland,green
9,15383,3.09,Snow/Ice,black
8,4935,0.99,Bare ground,burlywood
1,4852,0.98,Water,blue
5,3407,0.68,Crops,yellow
7,383,0.08,Built Area,red
4,180,0.04,Flooded vegetation,lightgreen
