value,count,prop,class,col
2,179705,53.4,Trees,darkgreen
5,112624,33.47,Crops,yellow
11,25919,7.7,Rangeland,green
7,17425,5.18,Built Area,red
1,651,0.19,Water,blue
8,152,0.05,Bare ground,burlywood
4,36,0.01,Flooded vegetation,lightgreen
