value,count,prop,class,col
9,3147315,55.07,Snow/Ice,black
11,1135157,19.86,Rangeland,green
8,755599,13.22,Bare ground,burlywood
4,554813,9.71,Flooded vegetation,lightgreen
1,121790,2.13,Water,blue
5,219,0,Crops,yellow
