value,count,prop,class,col
2,311446,80.57,Trees,darkgreen
1,64715,16.74,Water,blue
11,9710,2.51,Rangeland,green
4,267,0.07,Flooded vegetation,lightgreen
8,201,0.05,Bare ground,burlywood
7,195,0.05,Built Area,red
