value,count,prop,class,col
2,170667,92.07,Trees,darkgreen
1,7519,4.06,Water,blue
11,7051,3.8,Rangeland,green
4,67,0.04,Flooded vegetation,lightgreen
7,67,0.04,Built Area,red
