value,count,prop,class,col
2,178964,75.65,Trees,darkgreen
11,38531,16.29,Rangeland,green
1,19012,8.04,Water,blue
8,27,0.01,Bare ground,burlywood
9,13,0.01,Snow/Ice,black
4,6,0,Flooded vegetation,lightgreen
