value,count,prop,class,col
2,344393,71.89,Trees,darkgreen
1,52335,10.92,Water,blue
11,50214,10.48,Rangeland,green
4,19539,4.08,Flooded vegetation,lightgreen
8,10660,2.23,Bare ground,burlywood
9,1603,0.33,Snow/Ice,black
7,281,0.06,Built Area,red
5,16,0,Crops,yellow
