,OPERATIO_E,OPERATIO_F,OWNER_E,OWNER_F,FAC_TYPE_E,FAC_TYPE_F,COM_GROU_E,COM_GROU_F,COM_DESC_E,COM_DESC_F,PROVINCE_E,PROVINCE_F,LATITUDE,LONGITUDE,PRV_WSHD_I,NHN_TWS_ID,Longitude,Latitude
24,Blind River,Blind River,Cameco Corporation,Cameco Corporation,Refinery,Affinerie,Uranium,Uranium,Uranium (trioxide),Uranium (trioxyde),Ontario,Ontario,46.180896,-83.017246,ON-02CC-01,203,-83.017246,46.180896
25,Flin Flon,Flin Flon,Hudbay Minerals Inc.,Hudbay Minerals Inc.,Refinery,Affinerie,Base metals,Métaux communs,Zinc,Zinc,Manitoba,Manitoba,54.77,-101.885,NA,05KG,-101.885,54.77
26,The Cobalt Refinery Company Inc.,The Cobalt Refinery Company Inc.,Sherritt International Corporation and General Nickel Company S.A.,Sherritt International Corporation et General Nickel Company S.A.,Refinery,Affinerie,Base metals,Métaux communs,"Nickel, cobalt, copper sulfide, ammonium sulfate","Nickel, cobalt, cuivre (sulfure), sulfate d’ammonium",Alberta,Alberta,53.719929,-113.19011,AB-11030101,05EB,-113.19011,53.719929
27,Baymag,Baymag,Baymag Inc.,Baymag Inc.,Plant,Usine,Base metals,Métaux communs,Magnesium oxide,Oxyde de magnésium,Alberta,Alberta,51.060022,-115.210061,AB-04020401,05BE,-115.210061,51.060022
28,Trail,Trail,Teck Resources Limited,Teck Resources Limited,"Smelter, refinery, plant","Usine de fusion, affinerie, usine",Base metals,Métaux communs,"Zinc, lead, bismuth, cadmium, indium, germanium, precious metals, liquid sulfur dioxide, sulfuric acid","Zinc, plomb, bismuth, cadmium, indium, germanium, métaux précieux, dioxyde de soufre liquide, acide sulfurique",British Columbia,Colombie-Britannique,49.0999,-117.7137,BC_96,08NE,-117.7137,49.0999
29,Richmond,Richmond,Metalex Products Ltd.,Metalex Products Ltd.,Secondary smelter,Usine de fusion secondaire,Base metals,Métaux communs,Recycled lead,Plomb recyclé,British Columbia,Colombie-Britannique,49.194196,-123.092001,BC_103,08MH,-123.092001,49.194196
30,Kitimat,Kitimat,Rio Tinto Aluminum Inc.,Rio Tinto Aluminum Inc.,Smelter,Usine de fusion,Aluminum,Aluminum,Aluminum (pure or alloyed),Aluminium (pur ou allié),British Columbia,Colombie-Britannique,53.9976,-128.6954,BC_85,08FF,-128.6954,53.9976
31,Elkem Chicoutimi,Elkem Chicoutimi,Elkem Metal Canada Inc.,Elkem Métal Canada Inc.,N/A,N/A,Ferroalloys,Alliage ferreux,Ferrosilicon,Ferrosilicium,Quebec,Québec,48.412769,-71.131239,NA,02RH,-71.131239,48.412769
32,Niobec Converter,Convertisseur Niobec,Magris Resources Inc.,Magris Resources Inc.,N/A,N/A,Ferroalloys,Alliage ferreux,Ferroniobium,Ferroniobium,Quebec,Québec,48.531738,-71.158168,NA,02RH,-71.158168,48.531738
33,"Quebec Silicon, LP","Quebec Silicon, LP","Globe Speciality Metals, Inc.","Globe Speciality Metals, Inc.",N/A,N/A,Ferroalloys,Alliage ferreux,"Silicon metal, ferrosilicon","Silicium métal, ferrosilicium",Quebec,Québec,46.37,-72.39,NA,210,-72.39,46.37
34,Ottawa Plant,Usine d’Ottawa,Masterloy Products Limited,Masterloy Products Limited,N/A,N/A,Ferroalloys,Alliage ferreux,"Vanadium, molybdenum","Vanadium, molybdène",Ontario,Ontario,45.298042,-75.562391,ON-02LB-08,02LB,-75.562391,45.298042
35,Sorel Forge,Les Forges de Sorel,Swiss Steel Holding AG,Swiss Steel Holding AG,Electric arc furnace,Four électrique à arc,Iron ore,Minerai de fer,Iron ore,Minerai de fer,Quebec,Québec,46.045865,-73.124998,NA,210,-73.124998,46.045865
36,Rio Tinto Iron and Titanium,Rio Tinto Fer et Titane,Rio Tinto Group,Groupe Rio Tinto,Electric arc furnace,Four électrique à arc,Iron ore,Minerai de fer,"Iron ore, titanium dioxide, scandium","Minerai de fer, dioxyde de titane, scandium",Quebec,Québec,46.045907,-73.138424,NA,210,-73.138424,46.045907
37,Contrecœur East,Contrecœur est,ArcelorMittal Long Products Canada,ArcelorMittal Produits longs Canada,Electric arc furnace,Four électrique à arc,Iron ore,Minerai de fer,Iron ore,Minerai de fer,Quebec,Québec,45.837723,-73.249081,NA,210,-73.249081,45.837723
38,Contrecœur West,Contrecœur ouest,ArcelorMittal Long Products Canada,ArcelorMittal Produits longs Canada,Electric arc furnace,Four électrique à arc,Iron ore,Minerai de fer,Iron ore,Minerai de fer,Quebec,Québec,45.819938,-73.263268,NA,210,-73.263268,45.819938
39,Ivaco Rolling Mills,Ivaco Rolling Mills,"Heico Companies, LLC","Heico Companies, LLC",Electric arc furnace,Four électrique à arc,Iron ore,Minerai de fer,Iron ore,Minerai de fer,Ontario,Ontario,45.6119,-74.704435,ON-02LB-02,02LB,-74.704435,45.6119
40,Whitby Mill,Aciérie de Whitby,Gerdau S.A.,Gerdau S.A.,Electric arc furnace,Four électrique à arc,Iron ore,Minerai de fer,Iron ore,Minerai de fer,Ontario,Ontario,43.86,-78.91,NA,02HC,-78.91,43.86
41,Welland Mill,Aciérie de Welland,Valbruna ASW Inc.,Valbruna ASW Inc.,Electric arc furnace,Four électrique à arc,Iron ore,Minerai de fer,Iron ore,Minerai de fer,Ontario,Ontario,42.998265,-79.235065,ON-02HA-02,02HA,-79.235065,42.998265
42,ArcelorMittal Dofasco,ArcelorMittal Dofasco,ArcelorMittal S.A.,ArcelorMittal S.A.,"Basic oxygen furnace, electric arc furnace","Convertisseur basique à oxygène, four électrique à arc",Iron ore,Minerai de fer,Iron ore,Minerai de fer,Ontario,Ontario,43.269132,-79.805204,ON-02HB-01,02HB,-79.805204,43.269132
43,Hamilton Works,Hamilton Works,Stelco Inc.,Stelco Inc.,Basic oxygen furnace,Convertisseur basique à oxygène,Iron ore,Minerai de fer,Iron ore,Minerai de fer,Ontario,Ontario,43.275,-79.819,ON-02HB-01,02HB,-79.819,43.275
44,Lake Erie Works,Lake Erie Works,Stelco Inc.,Stelco Inc.,Basic oxygen furnace,Convertisseur basique à oxygène,Iron ore,Minerai de fer,Iron ore,Minerai de fer,Ontario,Ontario,42.8001,-80.0937,ON-02GC-01,02GC,-80.0937,42.8001
45,Cambridge Mill,Aciérie de Cambridge,Gerdau S.A.,Gerdau S.A.,Electric arc furnace,Four électrique à arc,Iron ore,Minerai de fer,Iron ore,Minerai de fer,Ontario,Ontario,43.37,-80.28,ON-02GA-01,02GA,-80.28,43.37
46,Algoma Steel,Algoma Steel,Algoma Steel Inc.,Algoma Steel Inc.,Basic oxygen furnace,Convertisseur basique à oxygène,Iron ore,Minerai de fer,Iron ore,Minerai de fer,Ontario,Ontario,46.52055,-84.36664,ON-02CAA05,02CA,-84.36664,46.52055
47,Manitoba Mill,Manitoba Mill,Gerdau S.A.,Gerdau S.A.,Electric arc furnace,Four électrique à arc,Iron ore,Minerai de fer,Iron ore,Minerai de fer,Manitoba,Manitoba,50.130273,-96.893633,NA,05OJ,-96.893633,50.130273
48,Evraz Regina,Evraz Regina,EVRAZ North America Inc.,EVRAZ North America Inc.,Electric arc furnace,Four électrique à arc,Iron ore,Minerai de fer,Iron ore,Minerai de fer,Saskatchewan,Saskatchewan,50.515263,-104.623843,NA,05JF,-104.623843,50.515263
