,OPERATIO_E,OPERATIO_F,OWNER_E,OWNER_F,FAC_TYPE_E,FAC_TYPE_F,FAC_DESC_E,FAC_DESC_F,COMMODIT_E,COMMODIT_F,COM_DESC_E,COM_DESC_F,COM_GROU_E,COM_GROU_F,CITY_E,CITY_F,PROVINCE_E,PROVINCE_F,LATITUDE,LONGITUDE,PRV_WSHD_I,NHN_TWS_ID,Longitude,Latitude
99,Beachville,Beachville,Carmeuse Lime (Canada) Limited,Carmeuse Lime (Canada) Limited,"(P., Plant)","(C.O., usine)","Open-pit, plant","Ciel ouvert, usine","Limestone, lime","Calcaire, chaux","Limestone, lime","Calcaire, chaux",Industrial minerals,Minéraux industriels,Ingersoll,Ingersoll,Ontario,Ontario,43.068367,-80.856803,ON-02GD-06,02GD,-80.856803,43.068367
100,Sydenham,Sydenham,E.C. King Contracting Ltd. (Miller Paving Co.),E.C. King Contracting Ltd. (Miller Paving Co.),(P.),(C.O.),Open-pit,Ciel ouvert,Dolomite,Dolomite,Dolomite,Dolomite,Industrial minerals,Minéraux industriels,Owen Sound,Owen Sound,Ontario,Ontario,44.5669,-80.8607,NA,02FB,-80.8607,44.5669
101,Owen Sound,Owen Sound,Owen Sound Ledgerock Ltd.,Owen Sound Ledgerock Ltd.,(P.),(C.O.),Open-pit,Ciel ouvert,Dolomite,Dolomite,Dolomite,Dolomite,Industrial minerals,Minéraux industriels,Owen Sound,Owen Sound,Ontario,Ontario,44.5899,-81.0456,NA,02FB,-81.0456,44.5899
102,St Marys,St Marys,St Marys CBM (Canada) Inc.,St Marys CBM (Canada) Inc.,(P.),(C.O.),Open-pit,Ciel ouvert,Limestone,Calcaire,Limestone,Calcaire,Industrial minerals,Minéraux industriels,St. Marys,St. Marys,Ontario,Ontario,43.2483,-81.1588,ON-02GD-02,02GD,-81.1588,43.2483
103,Spanish River Carbonite,Spanish River Carbonite,Boreal Agrominerals Inc.,Boreal Agrominerals Inc.,(P.),(C.O.),Open-pit,Ciel ouvert,Vermiculite,Vermiculite,Salt,Sel,Industrial minerals,Minéraux industriels,northwest of Sudbury,au nord-ouest de Sudbury,Ontario,Ontario,46.6268,-81.7246,ON-02CE-05,02CE,-81.7246,46.6268
104,Goderich,Goderich,Compass Minerals Canada Corporation,Compass Minerals Canada Corporation,"(U., Plant)","(Sout., usine)","Underground, plant","Souterraine, usine",Salt,Sel,Salt,Sel,Industrial minerals,Minéraux industriels,Goderich,Goderich,Ontario,Ontario,43.743733,-81.724754,NA,203,-81.724754,43.743733
105,Goderich,Goderich,Compass Minerals Canada Corporation,Compass Minerals Canada Corporation,(Solution mining),(extraction par dissolution),Soultion mining,Extraction par dissolution,Salt,Sel,Salt,Sel,Industrial minerals,Minéraux industriels,Goderich,Goderich,Ontario,Ontario,43.746875,-81.72825,ON-02FE-01,203,-81.72825,43.746875
106,Penhorwood,Penhorwood,Magris Talc Canada Inc.,Magris Talc Canada Inc.,(P.),(C.O.),Open-pit,Ciel ouvert,Talc,Talc,Talc,Talc,Industrial minerals,Minéraux industriels,Penhorwood,Penhorwood,Ontario,Ontario,48.191813,-82.09848,ON-04LC-11,04LC,-82.09848,48.191813
107,Windsor,Windsor,K+S Windsor Salt Ltd.,K+S Sel Windsor Ltée,(Solution mining),(extraction par dissolution),Soultion mining,Extraction par dissolution,Salt,Sel,Salt,Sel,Industrial minerals,Minéraux industriels,Windsor,Windsor,Ontario,Ontario,42.287093,-83.091963,ON-02GHA02,02GH,-83.091963,42.287093
108,Ojibway,Ojibway,K+S Windsor Salt Ltd.,K+S Sel Windsor Ltée,(U.),(Sout.),Underground,Souterraine,Salt,Sel,Salt,Sel,Industrial minerals,Minéraux industriels,Windsor,Windsor,Ontario,Ontario,42.2558,-83.1033,ON-02GHA02,02GH,-83.1033,42.2558
109,Meldrum Bay,Meldrum Bay,Lafarge Canada Inc.,Lafarge Canada Inc.,"(P., Plant)","(C.O., usine)","Open-pit, plant","Ciel ouvert, usine","Limestone, dolomite","Calcaire, dolomite","Limestone, dolomite","Calcaire, dolomite",Industrial minerals,Minéraux industriels,Manitoulin Island,île Manitoulin,Ontario,Ontario,45.909662,-83.220727,NA,203,-83.220727,45.909662
110,Faulkner,Faulkner,Graymont Inc.,Graymont Inc.,"(P., Plant)","(C.O., usine)","Open-pit, plant","Ciel ouvert, usine","Limestone, lime","Calcaire, chaux","Limestone, lime","Calcaire, chaux",Industrial minerals,Minéraux industriels,Faulkner,Faulkner,Manitoba,Manitoba,51.413229,-98.765438,NA,05L1,-98.765438,51.413229
111,Hargrave,Hargrave,ERCO Worldwide,ERCO Worldwide,"(U., Plant)","(Sout., usine)","Underground, plant","Souterraine, usine",Sodium chlorate,Chlorate de sodium,Sodium chlorate,Chlorate de sodium,Industrial minerals,Minéraux industriels,Virden,Virden,Manitoba,Manitoba,49.903195,-101.047401,NA,05MG,-101.047401,49.903195
112,Rocanville,Rocanville,Nutrien Ltd.,Nutrien Ltd.,"(U., Plant)","(Sout., usine)","Underground, plant","Souterraine, usine",Potash,Potasse,Potash,Potasse,Industrial minerals,Minéraux industriels,Rocanville,Rocanville,Saskatchewan,Saskatchewan,50.471916,-101.544281,NA,05JM,-101.544281,50.471916
113,Esterhazy (K-3),Esterhazy (K-3),The Mosaic Company,The Mosaic Company,"(U., Plant)","(Sout., usine)","Underground, plant","Souterraine, usine","Potash, salt","Potasse, sel","Potash, salt","Potasse, sel",Industrial minerals,Minéraux industriels,Esterhazy,Esterhazy,Saskatchewan,Saskatchewan,50.659914,-101.845218,NA,05JM,-101.845218,50.659914
114,Wynyard (Big Quill),Wynyard (Big Quill),Compass Minerals Canada Corporation,Compass Minerals Canada Corporation,(Plant),(usine),Plant,Usine,Potassium sulphate,Sulfate de potassium,Potassium sulphate,Sulfate de potassium,Industrial minerals,Minéraux industriels,Wynyard,Wynyard,Saskatchewan,Saskatchewan,51.780628,-104.319916,NA,05MA,-104.319916,51.780628
115,Belle Plaine,Belle Plaine,The Mosaic Company,The Mosaic Company,"(U., Plant)","(Sout., usine)","Underground, plant","Souterraine, usine","Potash, salt","Potasse, sel","Potash, salt","Potasse, sel",Industrial minerals,Minéraux industriels,Belle Plaine,Belle Plaine,Saskatchewan,Saskatchewan,50.435626,-105.181423,NA,05JF,-105.181423,50.435626
116,Lanigan,Lanigan,Nutrien Ltd.,Nutrien Ltd.,(U.),(Sout.),Underground,Souterraine,Potash,Potasse,Potash,Potasse,Industrial minerals,Minéraux industriels,Lanigan,Lanigan,Saskatchewan,Saskatchewan,51.853044,-105.205794,NA,05JJ,-105.205794,51.853044
117,Bethune,Bethune,K+S Potash Canada,K+S Potash Canada,"(U., Plant)","(Sout., usine)","Underground, plant","Souterraine, usine",Potash,Potasse,Potash,Potasse,Industrial minerals,Minéraux industriels,Bethune,Bethune,Saskatchewan,Saskatchewan,50.62917,-105.26167,NA,05JG,-105.26167,50.62917
118,Allan,Allan,Nutrien Ltd.,Nutrien Ltd.,"(U., Plant)","(Sout., usine)","Underground, plant","Souterraine, usine",Potash,Potasse,Potash,Potasse,Industrial minerals,Minéraux industriels,Allan,Allan,Saskatchewan,Saskatchewan,51.93062,-106.068974,NA,05HG,-106.068974,51.93062
119,Patience Lake,Patience Lake,Nutrien Ltd.,Nutrien Ltd.,"(U., Plant)","(Sout., usine)","Underground, plant","Souterraine, usine",Potash,Potasse,Potash,Potasse,Industrial minerals,Minéraux industriels,Blucher,Blucher,Saskatchewan,Saskatchewan,52.089362,-106.376992,NA,05HG,-106.376992,52.089362
120,Saskatoon facility,Installation de Saskatoon,ERCO Worldwide,ERCO Worldwide,"(Solution mining, Plant)","(extraction par dissolution, usine)","Solution mining, plant","Extraction par dissolution, usine",Salt,Sel,Salt,Sel,Industrial minerals,Minéraux industriels,Saskatoon,Saskatoon,Saskatchewan,Saskatchewan,52.2015,-106.6204,NA,05HH,-106.6204,52.2015
121,Chaplin Lake,Chaplin Lake,Saskatchewan Mining and Minerals Inc.,Saskatchewan Mining and Minerals Inc.,"(P., Plant)","(C.O., usine)","Open-pit, plant","Ciel ouvert, usine",Sodium sulphate,Sulfate de sodium,Sodium sulphate,Sulfate de sodium,Industrial minerals,Minéraux industriels,Chaplin,Chaplin,Saskatchewan,Saskatchewan,50.4573,-106.67,NA,05JC,-106.67,50.4573
122,Cory,Cory,Nutrien Ltd.,Nutrien Ltd.,"(U., Plant)","(Sout., usine)","Underground, plant","Souterraine, usine",Potash,Potasse,Potash,Potasse,Industrial minerals,Minéraux industriels,Cory,Cory,Saskatchewan,Saskatchewan,52.092027,-106.859358,NA,05HG,-106.859358,52.092027
123,Vanscoy,Vanscoy,Nutrien Ltd.,Nutrien Ltd.,"(U., Plant)","(Sout., usine)","Underground, plant","Souterraine, usine","Potash, salt","Potasse, sel","Potash, salt","Potasse, sel",Industrial minerals,Minéraux industriels,Vanscoy,Vanscoy,Saskatchewan,Saskatchewan,52.01,-107.08,NA,05HG,-107.08,52.01
124,Unity,Unity,Compass Minerals Canada Corporation,Compass Minerals Canada Corporation,(Solution mining),(extraction par dissolution),Soultion mining,Extraction par dissolution,Salt,Sel,Salt,Sel,Industrial minerals,Minéraux industriels,Unity,Unity,Saskatchewan,Saskatchewan,52.4233,-109.11,NA,05GC,-109.11,52.4233
125,Lindbergh,Lindbergh,K+S Windsor Salt Ltd.,K+S Sel Windsor Ltée,(Solution mining),(extraction par dissolution),Soultion mining,Extraction par dissolution,Salt,Sel,Salt,Sel,Industrial minerals,Minéraux industriels,Elk Point,Elk Point,Alberta,Alberta,53.862693,-110.639331,AB-11040101,05ED,-110.639331,53.862693
126,Steepbank,Steepbank,Hammerstone Corporation,Hammerstone Corporation,(P.),(C.O.),Open-pit,Ciel ouvert,Limestone,Calcaire,Limestone,Calcaire,Industrial minerals,Minéraux industriels,north of Fort McMurray,au nord de Fort McMurray,Alberta,Alberta,56.9026,-111.3773,AB-17070101,07DA,-111.3773,56.9026
127,Sunnynook,Sunnynook,Jarodon Resources Ltd.,Jarodon Resources Ltd.,(Solution mining),(extraction par dissolution),Soultion mining,Extraction par dissolution,Salt,Sel,Salt,Sel,Industrial minerals,Minéraux industriels,Cessford,Cessford,Alberta,Alberta,51.006737,-111.555954,AB-08030303,05CH,-111.555954,51.006737
128,Fort McMurray West,Fort McMurray West,Suncor Energy Inc.,Suncor Énergie Inc.,(P.),(C.O.),Open-pit,Ciel ouvert,Limestone,Calcaire,Limestone,Calcaire,Industrial minerals,Minéraux industriels,Fort McMurray,Fort McMurray,Alberta,Alberta,57.0218,-111.572,AB-17070102,07DA,-111.572,57.0218
129,Calling Lake,Calling Lake,Ward Chemical,Ward Chemical,(Solution mining),(extraction par dissolution),Soultion mining,Extraction par dissolution,Salt,Sel,Salt,Sel,Industrial minerals,Minéraux industriels,Calling Lake,Calling Lake,Alberta,Alberta,55.17424,-113.219797,AB-17050202,07CB,-113.219797,55.17424
130,Mitsue,Mitsue,Tiger Calcium Services Inc.,Tiger Calcium Services Inc.,(Solution mining),(extraction par dissolution),Soultion mining,Extraction par dissolution,Salt,Sel,Salt,Sel,Industrial minerals,Minéraux industriels,Slave Lake,Slave Lake,Alberta,Alberta,55.272969,-114.598617,AB-17040301,07BK,-114.598617,55.272969
131,Exshaw (Gap),Exshaw (Gap),Graymont Inc.,Graymont Inc.,"(P., Plant)","(C.O., usine)","Open-pit, plant","Ciel ouvert, usine","Limestone, lime","Calcaire, chaux","Limestone, lime","Calcaire, chaux",Industrial minerals,Minéraux industriels,Exshaw,Exshaw,Alberta,Alberta,51.069153,-115.135047,AB-04020401,05BE,-115.135047,51.069153
132,Exshaw,Exshaw,Lafarge Canada Inc.,Lafarge Canada Inc.,"(P., Plant)","(C.O., usine)","Open-pit, plant","Ciel ouvert, usine",Limestone,Calcaire,"Limestone, lime",Calcaire,Industrial minerals,Minéraux industriels,Exshaw,Exshaw,Alberta,Alberta,51.059442,-115.171606,AB-04020401,05BE,-115.171606,51.059442
133,Clearwater,Clearwater,Burnco Rock Products Ltd.,Burnco Rock Products Ltd.,"(P., Plant)","(C.O., usine)","Open-pit, plant","Ciel ouvert, usine",Limestone,Calcaire,"Limestone, lime",Calcaire,Industrial minerals,Minéraux industriels,Clearwater River,Clearwater River,Alberta,Alberta,51.9653,-115.2875,AB-11010301,05DB,-115.2875,51.9653
134,Mcleod,Mcleod,Lehigh Hanson,Lehigh Hanson,(P.),(C.O.),Open-pit,Ciel ouvert,Limestone,Calcaire,Limestone,Calcaire,Industrial minerals,Minéraux industriels,Cadomin,Cadomin,Alberta,Alberta,53.010212,-117.298804,AB-17020101,07AF,-117.298804,53.010212
135,Mount Brussilof,Mount Brussilof,Baymag Inc.,Baymag Inc.,(P.),(C.O.),Open-pit,Ciel ouvert,"Magnesite (fused), magnesia (products)","Magnésite fondue, produits de magnésie","Magnesite (fused), magnesia (products)","Magnésite fondue, produits de magnésie",Industrial minerals,Minéraux industriels,Mount Brussilof,mont Brussilof,British Columbia,Colombie-Britannique,50.7887,-115.683,BC_91,08NF,-115.683,50.7887
136,Elkhorn,Elkhorn,"CertainTeed Gypsum Canada, Inc.","CertainTeed Gypsum Canada, Inc.",(P.),(C.O.),Open-pit,Ciel ouvert,Gypsum,Gypse,Gypsum,Gypse,Industrial minerals,Minéraux industriels,Windermere,Windermere,British Columbia,Colombie-Britannique,50.498282,-115.90016,BC_33,08NA,-115.90016,50.498282
137,Falkland,Falkland,Lafarge Canada Inc.,Lafarge Canada Inc.,"(P., Plant)","(C.O., usine)","Open-pit, plant","Ciel ouvert, usine",Gypsum,Gypse,Gypsum,Gypse,Industrial minerals,Minéraux industriels,Falkland,Falkland,British Columbia,Colombie-Britannique,50.510392,-119.552465,BC_191,08LE,-119.552465,50.510392
138,Bud,Bud,Progressive Planet Solutions Inc.,Progressive Planet Solutions Inc.,(P.),(C.O.),Open-pit,Ciel ouvert,"Zeolite, calcium bentonite clay","Zéolite, argile bentonite calcique","Zeolite, calcium bentonite clay","Zéolite, argile bentonite calcique",Industrial minerals,Minéraux industriels,Princeton,Princeton,British Columbia,Colombie-Britannique,49.424529,-120.557564,BC_184,08NL,-120.557564,49.424529
139,Red Lake,Red Lake,Progressive Planet Solutions Inc.,Progressive Planet Solutions Inc.,(P.),(C.O.),Open-pit,Ciel ouvert,"Diatomite, bentonite, leonardite","Diatomite, bentonite, léonardite","Diatomite, bentonite, leonardite","Diatomite, bentonite, léonardite",Industrial minerals,Minéraux industriels,Kamloops,Kamloops,British Columbia,Colombie-Britannique,50.9387,-120.815,BC_39,08LF,-120.815,50.9387
140,Van Anda,Van Anda,Imperial Limestone Co. Ltd.,Imperial Limestone Co. Ltd.,(P.),(C.O.),Open-pit,Ciel ouvert,Limestone,Calcaire,Limestone,Calcaire,Industrial minerals,Minéraux industriels,Texada Island,île Texada,British Columbia,Colombie-Britannique,49.7405,-124.528,BC_73,08GB,-124.528,49.7405
141,Texada,Texada,Texada Quarrying Ltd. (Lafarge Canada Inc.),Texada Quarrying Ltd. (Lafarge Canada Inc.),(P.),(C.O.),Open-pit,Ciel ouvert,Limestone,Calcaire,Limestone,Calcaire,Industrial minerals,Minéraux industriels,Texada Island,île Texada,British Columbia,Colombie-Britannique,49.718975,-124.568565,BC_73,08GB,-124.568565,49.718975
142,Fireside,Fireside,Fireside Minerals Ltd.,Fireside Minerals Ltd.,(P.),(C.O.),Open-pit,Ciel ouvert,Barite,Barytine,Barite,Barite,Industrial minerals,Minéraux industriels,Fireside,Fireside,British Columbia,Colombie-Britannique,59.770475,-127.206197,BC_32,10BC,-127.206197,59.770475
143,Scully,Scully,Tacora Resources Inc.,Tacora Resources Inc.,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Fe,Fe,Iron ore,Fe,Iron ore,Minerai de fer,Wabush,Wabush,Newfoundland and Labrador,Terre-Neuve et Labrador,52.907129,-66.912573,NA,03OA,-66.912573,52.907129
144,Carol Lake,Carol Lake,Iron Ore Company of Canada Inc.,Iron Ore Company of Canada Inc.,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Fe,Fe,Iron ore,Fe,Iron ore,Minerai de fer,Labrador City,Labrador City,Newfoundland and Labrador,Terre-Neuve et Labrador,53.039755,-66.936774,NA,03OA,-66.936774,53.039755
145,DSO (Timmins),DSO (Timmins),Tata Steel Minerals Canada Limited,Tata Steel Minerals Canada Limitée,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Fe,Fe,Iron ore,Fe,Iron ore,Minerai de fer,Menihek,Menihek,Newfoundland and Labrador,Terre-Neuve et Labrador,54.890828,-67.081916,NA,03OB,-67.081916,54.890828
146,Bloom Lake,Bloom Lake,Champion Iron Ltd.,Champion Iron Ltd.,(P.),(C.O.),Open-pit,Ciel ouvert,Fe,Fe,Iron ore,Fe,Iron ore,Minerai de fer,Fermont,Fermont,Quebec,Québec,52.84,-67.28,NA,03LA,-67.28,52.84
147,Mont-Wright,Mont-Wright,ArcelorMittal,ArcelorMittal,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Fe,Fe,Iron ore,Fe,Iron ore,Minerai de fer,Fermont,Fermont,Quebec,Québec,52.757053,-67.330058,NA,02UC,-67.330058,52.757053
148,DSO (Goodwood),DSO (Goodwood),Tata Steel Minerals Canada Limited,Tata Steel Minerals Canada Limitée,(P.),(C.O.),Open-pit,Ciel ouvert,Fe,Fe,Iron ore,Fe,Iron ore,Minerai de fer,Schefferville,Schefferville,Quebec,Québec,55.09939,-67.34778,NA,03LC,-67.34778,55.09939
149,Fire Lake,Fire Lake,ArcelorMittal,ArcelorMittal,(P.),(C.O.),Open-pit,Ciel ouvert,Fe,Fe,Iron ore,Fe,Iron ore,Minerai de fer,Fermont,Fermont,Quebec,Québec,52.352998,-67.363935,NA,02TB,-67.363935,52.352998
150,Mary River,Mary River,Baffinland Iron Mines Corporation,Baffinland Iron Mines Corporation,(P.),(C.O.),Open-pit,Ciel ouvert,Fe,Fe,Iron ore,Fe,Iron ore,Minerai de fer,Pond Inlet,Pond Inlet,Nunavut,Nunavut,71.340446,-78.556869,NA,06SA,-78.556869,71.340446
151,Kearl,Kearl,Imperial Oil Ltd.,Compagnie Pétrolière Impériale Ltée,(P.),(C.O.),Open-pit,Ciel ouvert,Upgraded crude oil,Pétrole brut enrichi,Upgraded crude oil,Pétrole brut enrichi,Oil,Pétrole,Fort McMurray,Fort McMurray,Alberta,Alberta,57.396911,-111.066731,AB-17070301,07DA,-111.066731,57.396911
152,Millennium and Steepbank,Millennium et Steepbank,Suncor Energy Inc.,Suncor Énergie Inc.,(P.),(C.O.),Open-pit,Ciel ouvert,Upgraded crude oil,Pétrole brut enrichi,Upgraded crude oil,Pétrole brut enrichi,Oil,Pétrole,Fort McMurray,Fort McMurray,Alberta,Alberta,56.8719,-111.34,AB-17070101,07DA,-111.34,56.8719
153,Jackpine,Jackpine,Canadian Natural Resources Limited,Canadian Natural Resources Limited,(P.),(C.O.),Open-pit,Ciel ouvert,Upgraded crude oil,Pétrole brut enrichi,Upgraded crude oil,Pétrole brut enrichi,Oil,Pétrole,Fort MacKay,Fort MacKay,Alberta,Alberta,57.24903611,-111.3798556,AB-17070104,07DA,-111.3798556,57.24903611
154,Aurora North and South,Aurora Nord et Sud,Syncrude Canada Ltd.,Syncrude Canada Ltd.,(P.),(C.O.),Open-pit,Ciel ouvert,Upgraded crude oil,Pétrole brut enrichi,Upgraded crude oil,Pétrole brut enrichi,Oil,Pétrole,Fort MacKay,Fort MacKay,Alberta,Alberta,57.3134,-111.458,AB-17070104,07DA,-111.458,57.3134
155,Mildred Lake,Lac Mildred,Syncrude Canada Ltd.,Syncrude Canada Ltd.,(P.),(C.O.),Open-pit,Ciel ouvert,Upgraded crude oil,Pétrole brut enrichi,Upgraded crude oil,Pétrole brut enrichi,Oil,Pétrole,Fort MacKay,Fort MacKay,Alberta,Alberta,57,-111.4667,AB-17070101,07DA,-111.4667,57
156,Muskeg River,Muskeg River,Canadian Natural Resources Limited,Canadian Natural Resources Limited,(P.),(C.O.),Open-pit,Ciel ouvert,Upgraded crude oil,Pétrole brut enrichi,Upgraded crude oil,Pétrole brut enrichi,Oil,Pétrole,Fort MacKay,Fort MacKay,Alberta,Alberta,57.2465,-111.512,AB-17070104,07DA,-111.512,57.2465
157,Fort Hills,Fort Hills,Suncor Energy Inc.,Suncor Énergie Inc.,(P.),(C.O.),Open-pit,Ciel ouvert,Upgraded crude oil,Pétrole brut enrichi,Upgraded crude oil,Pétrole brut enrichi,Oil,Pétrole,Fort MacKay,Fort MacKay,Alberta,Alberta,57.3952,-111.572,AB-17070101,07DA,-111.572,57.3952
158,Horizon,Horizon,Canadian Natural Resources Limited,Canadian Natural Resources Limited,(P.),(C.O.),Open-pit,Ciel ouvert,Upgraded crude oil,Pétrole brut enrichi,Upgraded crude oil,Pétrole brut enrichi,Oil,Pétrole,Fort MacKay,Fort MacKay,Alberta,Alberta,57.33823333,-111.7749472,AB-17070101,07DA,-111.7749472,57.33823333
159,Beaver Brook,Beaver Brook,China Minmetals Rare Earth Group Co. Ltd.,China Minmetals Rare Earth Group Co. Ltd.,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Sb,Sb,Antimony,Antimoine,Other metals,Autres métaux,Glenwood,Glenwood,Newfoundland and Labrador,Terre-Neuve et Labrador,48.715909,-55.196,NA,02YQ,-55.196,48.715909
160,Lac Tio,Lac Tio,Rio Tinto Group,Groupe Rio Tinto,(P.),(C.O.),Open-pit,Ciel ouvert,Ilmenite,Ilménite,Ilmenite,Ilménite,Other metals,Autres métaux,Havre-Saint-Pierre,Havre-Saint-Pierre,Quebec,Québec,50.5541,-63.416,NA,02VC,-63.416,50.5541
161,Niobec,Niobec,Magris Performance Materials,Matériaux de performance Magris,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Nb,Nb,Niobium,Niobium,Other metals,Autres métaux,Saint-Honoré-de-Chicoutimi,Saint-Honoré-de-Chicoutimi,Quebec,Québec,48.532148,-71.156929,NA,02RH,-71.156929,48.532148
162,Point Rousse,Point Rousse,Signal Gold Inc.,Signal Gold Inc.,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Baie Verte,Baie Verte,Newfoundland and Labrador,Terre-Neuve et Labrador,49.96142,-56.124447,NA,02YM,-56.124447,49.96142
163,Moose River Consolidated,Moose River Consolidated,St Barbara Limited,St Barbara Limited,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Upper Musquodoboit,Upper Musquodoboit,Nova Scotia,Nouvelle-Écosse,44.98243,-62.94292,NA,01EL,-62.94292,44.98243
164,Éléonore,Éléonore,Newmont Corporation,Newmont Corporation,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Opinaca Reservoir,réservoir Opinaca,Quebec,Québec,52.69889,-76.08667,NA,03CE,-76.08667,52.69889
165,Lamaque,Lamaque,Eldorado Gold,Eldorado Gold,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Val-d’Or,Val-d’Or,Quebec,Québec,48.079221,-77.739624,ON-04NA-09,04NA,-77.739624,48.079221
166,Goldex,Goldex,Agnico Eagle Mines Limited,Mines Agnico Eagle Limitée,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Au, Ag","Au, Ag","Gold, Silver","Or, argent",Precious metals,Métaux précieux,Val-d’Or,Val-d’Or,Quebec,Québec,48.0926,-77.8733,ON-04NA-06,04NA,-77.8733,48.0926
167,Kiena,Kiena,Wesdome Gold Mines Ltd.,Mines d'or Wesdome Ltée,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Val-d’Or,Val-d’Or,Quebec,Québec,48.12,-77.91,ON-04NA-06,04NA,-77.91,48.12
168,Sleeping Giant,Géant Dormant,Abcourt Mines Inc.,Mines Abcourt inc.,(C.),(Con.),Concentrator,Concentrateur,"Au, Ag","Au, Ag","Gold, Silver","Or, argent",Precious metals,Métaux précieux,north of Amos,au nord d’Amos,Quebec,Québec,49.13259,-77.97434,ON-04NA-02,04NA,-77.97434,49.13259
169,Canadian Malartic,Canadian Malartic,Agnico Eagle Mines Limited and Yamana Gold Inc.,Mines Agnico Eagle Limitée et Yamana Gold inc.,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur","Au, Ag","Au, Ag","Gold, Silver","Or, argent",Precious metals,Métaux précieux,Malartic,Malartic,Quebec,Québec,48.122223,-78.130824,ON-04NA-05,04NA,-78.130824,48.122223
170,LaRonde,LaRonde,Agnico Eagle Mines Limited,Mines Agnico Eagle Limitée,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Au, Zn, Cu, Ag, Cd","Au, Zn, Cu, Ag, Cd","Gold, zinc, copper, silver, cadmium","Or, zinc, cuivre, argent, cadmium",Precious metals,Métaux précieux,Preissac,Preissac,Quebec,Québec,48.2516,-78.428,NA,02JB,-78.428,48.2516
171,LaRonde - Zone 5,LaRonde - Zone 5,Agnico Eagle Mines Limited,Mines Agnico Eagle Limitée,(U.),(Sout.),Underground,Souterraine,Au,Au,Gold,Or,Precious metals,Métaux précieux,Preissac,Preissac,Quebec,Québec,48.2516,-78.451722,NA,02JB,-78.451722,48.2516
172,Westwood-Doyon,Westwood-Doyon,IAMGOLD Corporation,IAMGOLD Corporation,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Au, Ag","Au, Ag","Gold, Silver","Or, argent",Precious metals,Métaux précieux,Cadillac,Cadillac,Quebec,Québec,48.256,-78.502,NA,02JB,-78.502,48.256
173,Elder,Elder,Abcourt Mines Inc.,Mines Abcourt inc.,(U.),(Sout.),Underground,Souterraine,"Au, Ag","Au, Ag","Gold, Silver","Or, argent",Precious metals,Métaux précieux,Rouyn-Noranda,Rouyn-Noranda,Quebec,Québec,48.28639,-79.13056,NA,02JB,-79.13056,48.28639
174,Casa Berardi,Casa Berardi,Hecla Mining Company,Hecla Mining Company,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Au, Ag","Au, Ag","Gold, Silver","Or, argent",Precious metals,Métaux précieux,"north of La Sarre, Casa Berardi Twp.","au nord de La Sarre, canton Casa Berardi",Quebec,Québec,49.5719,-79.231307,ON-04NB-13,04NB,-79.231307,49.5719
175,Detour Lake,Detour Lake,Agnico Eagle Mines Limited,Mines Agnico Eagle Limitée,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Matagami,Matagami,Ontario,Ontario,50.018143,-79.717631,ON-04NB-10,04NB,-79.717631,50.018143
176,Macassa,Macassa,Agnico Eagle Mines Limited,Mines Agnico Eagle Limitée,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Au, Ag","Au, Ag","Gold, Silver","Or, argent",Precious metals,Métaux précieux,Kirkland Lake area,région de Kirkland Lake,Ontario,Ontario,48.142528,-80.071637,ON-02JC-12,02JC,-80.071637,48.142528
