value,count,prop,class,col
2,214691,77.94,Trees,darkgreen
1,32212,11.69,Water,blue
11,27398,9.95,Rangeland,green
4,566,0.21,Flooded vegetation,lightgreen
7,404,0.15,Built Area,red
8,141,0.05,Bare ground,burlywood
5,38,0.01,Crops,yellow
