value,count,prop,class,col
2,265086,80.27,Trees,darkgreen
1,37749,11.43,Water,blue
11,27023,8.18,Rangeland,green
4,205,0.06,Flooded vegetation,lightgreen
8,150,0.05,Bare ground,burlywood
7,35,0.01,Built Area,red
