value,count,prop,class,col
2,458225,85.08,Trees,darkgreen
11,44985,8.35,Rangeland,green
1,24991,4.64,Water,blue
7,7849,1.46,Built Area,red
5,1903,0.35,Crops,yellow
8,509,0.09,Bare ground,burlywood
4,128,0.02,Flooded vegetation,lightgreen
