value,count,prop,class,col
2,718425,58.51,Trees,darkgreen
5,330745,26.93,Crops,yellow
11,103162,8.4,Rangeland,green
1,42007,3.42,Water,blue
7,23936,1.95,Built Area,red
4,7968,0.65,Flooded vegetation,lightgreen
8,1717,0.14,Bare ground,burlywood
