value,count,prop,class,col
2,110458,89.56,Trees,darkgreen
11,6164,5,Rangeland,green
1,4868,3.95,Water,blue
5,1428,1.16,Crops,yellow
7,273,0.22,Built Area,red
8,136,0.11,Bare ground,burlywood
4,4,0,Flooded vegetation,lightgreen
