value,count,prop,class,col
2,471029,66.7,Trees,darkgreen
11,191402,27.1,Rangeland,green
1,42085,5.96,Water,blue
4,976,0.14,Flooded vegetation,lightgreen
7,669,0.09,Built Area,red
8,46,0.01,Bare ground,burlywood
5,9,0,Crops,yellow
