value,count,prop,class,col
2,267074,54.4,Trees,darkgreen
11,203248,41.4,Rangeland,green
1,11377,2.32,Water,blue
8,6409,1.31,Bare ground,burlywood
4,2809,0.57,Flooded vegetation,lightgreen
