value,count,prop,class,col
4,308007,55.46,Flooded vegetation,lightgreen
11,124776,22.47,Rangeland,green
2,83000,14.94,Trees,darkgreen
1,39627,7.13,Water,blue
8,6,0,Bare ground,burlywood
