value,count,prop,class,col
4,648817,81.26,Flooded vegetation,lightgreen
11,106697,13.36,Rangeland,green
2,21418,2.68,Trees,darkgreen
1,20980,2.63,Water,blue
7,327,0.04,Built Area,red
9,180,0.02,Snow/Ice,black
8,8,0,Bare ground,burlywood
