value,count,prop,class,col
4,478745,71.13,Flooded vegetation,lightgreen
2,117029,17.39,Trees,darkgreen
11,55533,8.25,Rangeland,green
1,21698,3.22,Water,blue
8,15,0,Bare ground,burlywood
9,3,0,Snow/Ice,black
