value,count,prop,class,col
2,429032,69.4,Trees,darkgreen
1,139125,22.5,Water,blue
11,49269,7.97,Rangeland,green
4,807,0.13,Flooded vegetation,lightgreen
7,6,0,Built Area,red
8,3,0,Bare ground,burlywood
9,2,0,Snow/Ice,black
