value,count,prop,class,col
2,93397,85.8,Trees,darkgreen
1,7761,7.13,Water,blue
11,5665,5.2,Rangeland,green
7,1235,1.13,Built Area,red
4,499,0.46,Flooded vegetation,lightgreen
8,292,0.27,Bare ground,burlywood
5,1,0,Crops,yellow
