En_Name,Bio_Zone_Code,PRV_WSHD_I,NHN_TWS_ID
Saskatchewan - Nelson River,5,AB-11010406,NA
Saskatchewan - Nelson River,5,AB-11020101,NA
Saskatchewan - Nelson River,5,AB-11020102,NA
Saskatchewan - Nelson River,5,AB-11020103,NA
Saskatchewan - Nelson River,5,AB-11020104,NA
Saskatchewan - Nelson River,5,AB-11020201,NA
Saskatchewan - Nelson River,5,AB-11020202,NA
Saskatchewan - Nelson River,5,AB-11020203,NA
Saskatchewan - Nelson River,5,AB-11020301,NA
Saskatchewan - Nelson River,5,AB-11020302,NA
Saskatchewan - Nelson River,5,AB-11030101,NA
Saskatchewan - Nelson River,5,AB-11030102,NA
Saskatchewan - Nelson River,5,AB-11030201,NA
Saskatchewan - Nelson River,5,AB-11030202,NA
Saskatchewan - Nelson River,5,AB-11030203,NA
Saskatchewan - Nelson River,5,AB-11030204,NA
Saskatchewan - Nelson River,5,AB-11030205,NA
Saskatchewan - Nelson River,5,AB-11040101,NA
Saskatchewan - Nelson River,5,AB-11040102,NA
Saskatchewan - Nelson River,5,AB-11040103,NA
Saskatchewan - Nelson River,5,AB-11040104,NA
Saskatchewan - Nelson River,5,AB-11040201,NA
Saskatchewan - Nelson River,5,AB-11040202,NA
Saskatchewan - Nelson River,5,AB-11040203,NA
Saskatchewan - Nelson River,5,AB-11040204,NA
Saskatchewan - Nelson River,5,AB-11040301,NA
Saskatchewan - Nelson River,5,AB-11040302,NA
Western Hudson Bay,6,AB-12010101,NA
Western Hudson Bay,6,AB-12010102,NA
Western Hudson Bay,6,AB-12010201,NA
Western Hudson Bay,6,AB-12010202,NA
Western Hudson Bay,6,AB-12010203,NA
Western Hudson Bay,6,AB-12020101,NA
Western Hudson Bay,6,AB-12020102,NA
Western Hudson Bay,6,AB-12020103,NA
Western Hudson Bay,6,AB-12020104,NA
Western Hudson Bay,6,AB-12020105,NA
Western Hudson Bay,6,AB-12020201,NA
Western Hudson Bay,6,AB-12020301,NA
Western Hudson Bay,6,AB-12020302,NA
Western Hudson Bay,6,AB-13010101,NA
Western Hudson Bay,6,AB-15010101,NA
Western Arctic,101,AB-16010101,NA
Western Arctic,101,AB-17010101,NA
Western Arctic,101,AB-17010102,NA
Western Arctic,101,AB-17010103,NA
Western Arctic,101,AB-17010104,NA
Western Arctic,101,AB-17010105,NA
Western Arctic,101,AB-17010106,NA
Western Arctic,101,AB-17010107,NA
Western Arctic,101,AB-17010201,NA
Western Arctic,101,AB-17010301,NA
Western Arctic,101,AB-17010302,NA
Western Arctic,101,AB-17010401,NA
Western Arctic,101,AB-17010501,NA
Western Arctic,101,AB-17010601,NA
Western Arctic,101,AB-17010602,NA
Western Arctic,101,AB-17010603,NA
Western Arctic,101,AB-17010701,NA
Western Arctic,101,AB-17010702,NA
Western Arctic,101,AB-17010703,NA
Western Arctic,101,AB-17020101,NA
Western Arctic,101,AB-17020102,NA
Western Arctic,101,AB-17020201,NA
Western Arctic,101,AB-17020202,NA
Western Arctic,101,AB-17020203,NA
Western Arctic,101,AB-17020204,NA
Western Arctic,101,AB-17030101,NA
Western Arctic,101,AB-17030102,NA
Western Arctic,101,AB-17030201,NA
Western Arctic,101,AB-17030202,NA
Western Arctic,101,AB-17030203,NA
Western Arctic,101,AB-17030301,NA
Western Arctic,101,AB-17030302,NA
Western Arctic,101,AB-17030303,NA
Western Arctic,101,AB-17030304,NA
Western Arctic,101,AB-17040101,NA
Western Arctic,101,AB-17040102,NA
Western Arctic,101,AB-17040103,NA
Western Arctic,101,AB-17040201,NA
Western Arctic,101,AB-17040202,NA
Western Arctic,101,AB-17040203,NA
Western Arctic,101,AB-17040301,NA
Western Arctic,101,AB-17040302,NA
Western Arctic,101,AB-17040303,NA
Western Arctic,101,AB-17040304,NA
Western Arctic,101,AB-17050101,NA
Western Arctic,101,AB-17050102,NA
Western Arctic,101,AB-17050201,NA
Western Arctic,101,AB-17050202,NA
Western Arctic,101,AB-17050203,NA
Western Arctic,101,AB-17050204,NA
Western Arctic,101,AB-17050205,NA
Western Arctic,101,AB-17050301,NA
Western Arctic,101,AB-17050302,NA
Western Arctic,101,AB-17050303,NA
Western Arctic,101,AB-17050304,NA
Western Arctic,101,AB-17050401,NA
Western Arctic,101,AB-17050402,NA
Western Arctic,101,AB-17050403,NA
Western Arctic,101,AB-17060101,NA
Western Arctic,101,AB-17060102,NA
Western Arctic,101,AB-17060103,NA
Western Arctic,101,AB-17060104,NA
Western Arctic,101,AB-17060105,NA
Western Arctic,101,AB-17060106,NA
Western Arctic,101,AB-17060107,NA
Western Arctic,101,AB-17060201,NA
Western Arctic,101,AB-17060202,NA
Western Arctic,101,AB-17060203,NA
Western Arctic,101,AB-17070101,NA
Western Arctic,101,AB-17070102,NA
Western Arctic,101,AB-17070103,NA
Western Arctic,101,AB-17070104,NA
Western Arctic,101,AB-17070105,NA
Western Arctic,101,AB-17070201,NA
Western Arctic,101,AB-17070202,NA
Western Arctic,101,AB-17070203,NA
Western Arctic,101,AB-17070301,NA
Western Arctic,101,AB-17070302,NA
Western Arctic,101,AB-17070401,NA
Western Arctic,101,AB-17070402,NA
Western Arctic,101,AB-17070403,NA
Western Arctic,101,AB-18010101,NA
Western Arctic,101,AB-18010201,NA
Western Arctic,101,AB-18010202,NA
Western Arctic,101,AB-18010203,NA
Western Arctic,101,AB-18010204,NA
Western Arctic,101,AB-18010205,NA
Western Arctic,101,AB-18010206,NA
Western Arctic,101,AB-18010207,NA
Western Arctic,101,AB-18010208,NA
Western Arctic,101,AB-18010209,NA
Western Arctic,101,AB-18010210,NA
Western Arctic,101,AB-18010211,NA
Western Arctic,101,AB-18010301,NA
Western Arctic,101,AB-18010302,NA
Western Arctic,101,AB-18010303,NA
Western Arctic,101,AB-18010401,NA
Western Arctic,101,AB-18010402,NA
Western Arctic,101,AB-18010403,NA
Western Arctic,101,AB-18010404,NA
Western Arctic,101,AB-18020101,NA
Western Arctic,101,AB-18020102,NA
Western Arctic,101,AB-18020103,NA
Western Arctic,101,AB-18020104,NA
Western Arctic,101,AB-18020105,NA
Western Arctic,101,AB-18020201,NA
Western Arctic,101,AB-18020202,NA
Western Arctic,101,AB-18020203,NA
Western Arctic,101,AB-18020301,NA
Western Arctic,101,AB-18020302,NA
Western Arctic,101,AB-18020303,NA
Western Arctic,101,AB-18020304,NA
Western Arctic,101,AB-18020401,NA
Western Arctic,101,AB-18020402,NA
Western Arctic,101,AB-18020501,NA
Western Arctic,101,AB-18020502,NA
Western Arctic,101,AB-18020503,NA
Western Arctic,101,AB-18020601,NA
Western Arctic,101,AB-18020602,NA
Western Arctic,101,AB-18020603,NA
Western Arctic,101,AB-18020604,NA
Western Arctic,101,AB-18020701,NA
Western Arctic,101,AB-18020702,NA
Western Arctic,101,AB-18020703,NA
Western Arctic,101,AB-18020704,NA
Western Arctic,101,AB-18020801,NA
Western Arctic,101,AB-18020802,NA
Western Arctic,101,AB-18020803,NA
Western Arctic,101,AB-18020901,NA
Western Arctic,101,AB-18020902,NA
Western Arctic,101,AB-18020903,NA
Western Arctic,101,AB-18020904,NA
Western Arctic,101,AB-18020905,NA
Western Arctic,101,AB-18030101,NA
Western Arctic,101,AB-18030102,NA
Western Arctic,101,AB-18030103,NA
Western Arctic,101,AB-18030104,NA
Western Arctic,101,AB-18030201,NA
Western Arctic,101,AB-18030301,NA
Western Arctic,101,AB-18030302,NA
Western Arctic,101,AB-18030303,NA
Western Arctic,101,AB-18030304,NA
Western Arctic,101,AB-18030401,NA
Western Arctic,101,AB-18030402,NA
Western Arctic,101,AB-18040101,NA
Western Arctic,101,AB-18040102,NA
Western Arctic,101,AB-18040103,NA
Western Arctic,101,AB-18040104,NA
Western Arctic,101,AB-18040105,NA
Western Arctic,101,AB-18040106,NA
Western Arctic,101,AB-18040107,NA
Western Arctic,101,AB-18040108,NA
Western Arctic,101,AB-18040201,NA
Western Arctic,101,AB-18040202,NA
Western Arctic,101,AB-18040203,NA
Western Arctic,101,AB-18040301,NA
Western Arctic,101,AB-18040302,NA
Western Arctic,101,AB-18040303,NA
Western Arctic,101,AB-18040304,NA
Western Arctic,101,AB-18050101,NA
Western Arctic,101,AB-18050102,NA
Western Arctic,101,AB-18050103,NA
Western Arctic,101,AB-18050104,NA
Western Arctic,101,AB-18050105,NA
Western Arctic,101,AB-18050106,NA
Western Arctic,101,AB-18050107,NA
Western Arctic,101,AB-18050201,NA
Western Arctic,101,AB-18050202,NA
Western Arctic,101,AB-18050203,NA
Western Arctic,101,AB-18050204,NA
Western Arctic,101,AB-18050205,NA
Western Arctic,101,AB-18050206,NA
Western Arctic,101,AB-18050301,NA
Western Arctic,101,AB-18050302,NA
Western Arctic,101,AB-18050303,NA
