value,count,prop,class,col
2,344723,62.42,Trees,darkgreen
11,102724,18.6,Rangeland,green
1,98862,17.9,Water,blue
4,5877,1.06,Flooded vegetation,lightgreen
8,68,0.01,Bare ground,burlywood
5,7,0,Crops,yellow
