value,count,prop,class,col
2,667931,78.48,Trees,darkgreen
11,94159,11.06,Rangeland,green
5,40865,4.8,Crops,yellow
7,40180,4.72,Built Area,red
1,7278,0.86,Water,blue
8,634,0.07,Bare ground,burlywood
4,76,0.01,Flooded vegetation,lightgreen
