value,count,prop,class,col
2,191577,67.54,Trees,darkgreen
7,52264,18.43,Built Area,red
11,23367,8.24,Rangeland,green
5,13976,4.93,Crops,yellow
1,1559,0.55,Water,blue
8,893,0.31,Bare ground,burlywood
