NHN_TWS,Scientific_name,Common_name,Species_origin
01AP,Acipenser brevirostrum,Shortnose Sturgeon,native
01BM,Acipenser brevirostrum,Shortnose Sturgeon,native
01DJ,Acipenser brevirostrum,Shortnose Sturgeon,native
05AB,Carassius gibelio,Prussian Carp,foreign
05AC,Carassius gibelio,Prussian Carp,foreign
05AG,Carassius gibelio,Prussian Carp,foreign
05AH,Carassius gibelio,Prussian Carp,foreign
05BH,Carassius gibelio,Prussian Carp,foreign
05BK,Carassius gibelio,Prussian Carp,foreign
05BM,Carassius gibelio,Prussian Carp,foreign
05BN,Carassius gibelio,Prussian Carp,foreign
05CB,Carassius gibelio,Prussian Carp,foreign
05CC,Carassius gibelio,Prussian Carp,foreign
05CD,Carassius gibelio,Prussian Carp,foreign
05CE,Carassius gibelio,Prussian Carp,foreign
05CG,Carassius gibelio,Prussian Carp,foreign
05CH,Carassius gibelio,Prussian Carp,foreign
05CJ,Carassius gibelio,Prussian Carp,foreign
05CK,Carassius gibelio,Prussian Carp,foreign
05EB,Carassius gibelio,Prussian Carp,foreign
05FA,Carassius gibelio,Prussian Carp,foreign
08MG,Catostomus sp.,Salish Sucker,native
08MH,Catostomus sp.,Salish Sucker,native
08MH,Channa maculata,Blotched Snakehead,foreign
04DA,Coregonus alpenae,Longjaw Cisco,extinct
05PD,Coregonus alpenae,Longjaw Cisco,extinct
05PF,Coregonus alpenae,Longjaw Cisco,extinct
05QB,Coregonus alpenae,Longjaw Cisco,extinct
05AE,Cottus bondi,Rocky Mountain Sculpin,native
08NP,Cottus bondi,Rocky Mountain Sculpin,native
11AA,Cottus bondi,Rocky Mountain Sculpin,native
08DB,Cottus sp.,Cultus Lake Sculpin,native
08GB,Cottus sp.,Cultus Lake Sculpin,native
08HB,Cottus sp.,Cultus Lake Sculpin,native
08HC,Cottus sp.,Cultus Lake Sculpin,native
08HD,Cottus sp.,Cultus Lake Sculpin,native
08HE,Cottus sp.,Cultus Lake Sculpin,native
08HF,Cottus sp.,Cultus Lake Sculpin,native
08MG,Cottus sp.,Cultus Lake Sculpin,native
08MH,Cottus sp.,Cultus Lake Sculpin,native
08OA,Cottus sp.,Cultus Lake Sculpin,native
02EC,Ctenopharyngodon idella,Grass Carp,foreign
02FC,Ctenopharyngodon idella,Grass Carp,foreign
02HC,Ctenopharyngodon idella,Grass Carp,foreign
02MC,Ctenopharyngodon idella,Grass Carp,foreign
02OJ,Ctenopharyngodon idella,Grass Carp,foreign
05AD,Ctenopharyngodon idella,Grass Carp,foreign
05EB,Ctenopharyngodon idella,Grass Carp,foreign
207,Ctenopharyngodon idella,Grass Carp,foreign
01AK,Cyprinus rubrofuscus,Amur Carp,foreign
01DD,Cyprinus rubrofuscus,Amur Carp,foreign
01EH,Cyprinus rubrofuscus,Amur Carp,foreign
01EJ,Cyprinus rubrofuscus,Amur Carp,foreign
02EC,Cyprinus rubrofuscus,Amur Carp,foreign
02ED,Cyprinus rubrofuscus,Amur Carp,foreign
02FF,Cyprinus rubrofuscus,Amur Carp,foreign
02GA,Cyprinus rubrofuscus,Amur Carp,foreign
02GC,Cyprinus rubrofuscus,Amur Carp,foreign
02GD,Cyprinus rubrofuscus,Amur Carp,foreign
02HC,Cyprinus rubrofuscus,Amur Carp,foreign
02HF,Cyprinus rubrofuscus,Amur Carp,foreign
02NA,Cyprinus rubrofuscus,Amur Carp,foreign
02OA,Cyprinus rubrofuscus,Amur Carp,foreign
02ZM,Cyprinus rubrofuscus,Amur Carp,foreign
05EA,Amur Carp,Koi,foreign
08MG,Cyprinus rubrofuscus,Amur Carp,foreign
08MH,Cyprinus rubrofuscus,Amur Carp,foreign
210,Cyprinus rubrofuscus,Amur Carp,foreign
02GE,Erimystax x-punctatus,Gravel Chub,extirpated
02FF,Esox americanus americanus,Redfin Pickerel,translocated
02HA,Esox americanus americanus,Redfin Pickerel,translocated
02MA,Esox americanus americanus,Redfin Pickerel,translocated
02OC,Esox americanus americanus,Redfin Pickerel,translocated
02OJ,Esox americanus americanus,Redfin Pickerel,translocated
207,Esox americanus americanus,Redfin Pickerel,translocated
210,Esox americanus americanus,Redfin Pickerel,translocated
08EG,Gasterosteus sp.,Balkwill Lake Benthic Stickleback,native
08GB,Gasterosteus sp.,Balkwill Lake Benthic Stickleback,native
08GB,Gasterosteus sp.,Balkwill Lake Limnetic Stickleback,native
08GB,Gasterosteus sp.,Emily Lake Benthic Stickleback,native
08GB,Gasterosteus sp.,Emily Lake Limnetic Stickleback,native
08GB,Gasterosteus sp.,Paxton Lake Benthic Stickleback,native
08GB,Gasterosteus sp.,Paxton Lake Limnetic Stickleback,native
08GB,Gasterosteus sp.,Priest Lake Benthic Stickleback,native
08GB,Gasterosteus sp.,Priest Lake Limnetic Stickleback,native
08HB,Gasterosteus sp.,Hadley Lake Benthic Stickleback,native
08HB,Gasterosteus sp.,Hadley Lake Limnetic Stickleback,native
08HB,Gasterosteus sp.,Enos Lake Benthic Stickleback,native
08HB,Gasterosteus sp.,Enos Lake Limnetic Stickleback,native
08HF,Gasterosteus sp.,Misty Lake Lake Stickleback,native
08HF,Gasterosteus sp.,Misty Lake Stream Stickleback,native
08NN,Gasterosteus sp.,Hadley Lake Limnetic Stickleback,native
08OA,Gasterosteus sp.,Charlotte Unarmoured Stickleback,native
02GC,Ictiobus niger,Black Buffalo,translocated
02GE,Ictiobus niger,Black Buffalo,translocated
207,Ictiobus niger,Black Buffalo,translocated
05L0,Micropterus salmoides,Largemouth Bass,translocated
02HB,Misgurnus anguillicaudatus,Pond Loach,foreign
08MH,Misgurnus anguillicaudatus,Pond Loach,foreign
03GB,Myoxocephalus quadricornis,Fourhorn Sculpin,native
04CF,Myoxocephalus quadricornis,Fourhorn Sculpin,native
04EC,Myoxocephalus quadricornis,Fourhorn Sculpin,native
04HB,Myoxocephalus quadricornis,Fourhorn Sculpin,native
04NC,Myoxocephalus quadricornis,Fourhorn Sculpin,native
06FD,Myoxocephalus quadricornis,Fourhorn Sculpin,native
06FE,Myoxocephalus quadricornis,Fourhorn Sculpin,native
06PA,Myoxocephalus quadricornis,Fourhorn Sculpin,native
10MD,Myoxocephalus quadricornis,Fourhorn Sculpin,native
10TF,Myoxocephalus quadricornis,Fourhorn Sculpin,native
07EA,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
07EC,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08DB,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08EB,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08EC,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08ED,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08EE,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08EF,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08EG,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08FA,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08FD,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08FF,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08FG,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08GA,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08GB,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08GC,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08GD,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08GF,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08HA,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08HB,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08HC,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08HD,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08HE,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08HF,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08LE,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08MF,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08MG,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08MH,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08NE,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08NH,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08NJ,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08OA,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
08OB,Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,native
05AA,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
05BA,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
05BB,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
05BC,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
05BD,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
05BG,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
05BJ,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
05BL,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
07FA,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
07FB,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
07FD,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08EB,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08EG,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08GA,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08GB,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08HA,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08HB,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08LB,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08LC,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08LE,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08LG,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08MC,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08MF,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08MG,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08MH,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08NA,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08NB,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08ND,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08NE,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08NF,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08NG,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08NH,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08NJ,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08NK,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08NL,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08NM,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08NN,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08NP,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
08PA,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,native
203,Oncorhynchus mykiss,Rainbow  Trout,translocated
07GA,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,native
08NN,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,native
07BE,Oncorhynchus nerka,Kokanee Salmon,native
07EA,Oncorhynchus nerka,Kokanee Salmon,native
07EB,Oncorhynchus nerka,Kokanee Salmon,native
07EC,Oncorhynchus nerka,Kokanee Salmon,native
07ED,Oncorhynchus nerka,Kokanee Salmon,native
07EE,Oncorhynchus nerka,Kokanee Salmon,native
07EF,Oncorhynchus nerka,Kokanee Salmon,native
07FA,Oncorhynchus nerka,Kokanee Salmon,native
07FD,Oncorhynchus nerka,Kokanee Salmon,native
07HA,Oncorhynchus nerka,Kokanee Salmon,native
07HC,Oncorhynchus nerka,Kokanee Salmon,native
08BA,Oncorhynchus nerka,Kokanee Salmon,native
08BB,Oncorhynchus nerka,Kokanee Salmon,native
08CD,Oncorhynchus nerka,Kokanee Salmon,native
08DA,Oncorhynchus nerka,Kokanee Salmon,native
08DB,Oncorhynchus nerka,Kokanee Salmon,native
08EA,Oncorhynchus nerka,Kokanee Salmon,native
08EB,Oncorhynchus nerka,Kokanee Salmon,native
08EC,Oncorhynchus nerka,Kokanee Salmon,native
08ED,Oncorhynchus nerka,Kokanee Salmon,native
08EE,Oncorhynchus nerka,Kokanee Salmon,native
08EF,Oncorhynchus nerka,Kokanee Salmon,native
08EG,Oncorhynchus nerka,Kokanee Salmon,native
08FA,Oncorhynchus nerka,Kokanee Salmon,native
08FD,Oncorhynchus nerka,Kokanee Salmon,native
08FF,Oncorhynchus nerka,Kokanee Salmon,native
08FG,Oncorhynchus nerka,Kokanee Salmon,native
08GA,Oncorhynchus nerka,Kokanee Salmon,native
08GB,Oncorhynchus nerka,Kokanee Salmon,native
08GC,Oncorhynchus nerka,Kokanee Salmon,native
08GE,Oncorhynchus nerka,Kokanee Salmon,native
08GF,Oncorhynchus nerka,Kokanee Salmon,native
08HA,Oncorhynchus nerka,Kokanee Salmon,native
08HB,Oncorhynchus nerka,Kokanee Salmon,native
08HC,Oncorhynchus nerka,Kokanee Salmon,native
08HD,Oncorhynchus nerka,Kokanee Salmon,native
08HE,Oncorhynchus nerka,Kokanee Salmon,native
08HF,Oncorhynchus nerka,Kokanee Salmon,native
08JA,Oncorhynchus nerka,Kokanee Salmon,native
08JB,Oncorhynchus nerka,Kokanee Salmon,native
08JC,Oncorhynchus nerka,Kokanee Salmon,native
08JD,Oncorhynchus nerka,Kokanee Salmon,native
08JE,Oncorhynchus nerka,Kokanee Salmon,native
08KA,Oncorhynchus nerka,Kokanee Salmon,native
08KB,Oncorhynchus nerka,Kokanee Salmon,native
08KC,Oncorhynchus nerka,Kokanee Salmon,native
08KD,Oncorhynchus nerka,Kokanee Salmon,native
08KE,Oncorhynchus nerka,Kokanee Salmon,native
08KF,Oncorhynchus nerka,Kokanee Salmon,native
08KG,Oncorhynchus nerka,Kokanee Salmon,native
08KH,Oncorhynchus nerka,Kokanee Salmon,native
08LA,Oncorhynchus nerka,Kokanee Salmon,native
08LB,Oncorhynchus nerka,Kokanee Salmon,native
08LC,Oncorhynchus nerka,Kokanee Salmon,native
08LD,Oncorhynchus nerka,Kokanee Salmon,native
08LE,Oncorhynchus nerka,Kokanee Salmon,native
08LF,Oncorhynchus nerka,Kokanee Salmon,native
08LG,Oncorhynchus nerka,Kokanee Salmon,native
08MA,Oncorhynchus nerka,Kokanee Salmon,native
08MB,Oncorhynchus nerka,Kokanee Salmon,native
08MC,Oncorhynchus nerka,Kokanee Salmon,native
08MD,Oncorhynchus nerka,Kokanee Salmon,native
08ME,Oncorhynchus nerka,Kokanee Salmon,native
08MF,Oncorhynchus nerka,Kokanee Salmon,native
08MG,Oncorhynchus nerka,Kokanee Salmon,native
08MH,Oncorhynchus nerka,Kokanee Salmon,native
08NA,Oncorhynchus nerka,Kokanee Salmon,native
08NB,Oncorhynchus nerka,Kokanee Salmon,native
08NC,Oncorhynchus nerka,Kokanee Salmon,native
08ND,Oncorhynchus nerka,Kokanee Salmon,native
08NE,Oncorhynchus nerka,Kokanee Salmon,native
08NG,Oncorhynchus nerka,Kokanee Salmon,native
08NH,Oncorhynchus nerka,Kokanee Salmon,native
08NJ,Oncorhynchus nerka,Kokanee Salmon,native
08NK,Oncorhynchus nerka,Kokanee Salmon,native
08NL,Oncorhynchus nerka,Kokanee Salmon,native
08NM,Oncorhynchus nerka,Kokanee Salmon,native
08NN,Oncorhynchus nerka,Kokanee Salmon,native
08NP,Oncorhynchus nerka,Kokanee Salmon,translocated
08OA,Oncorhynchus nerka,Kokanee Salmon,native
08OB,Oncorhynchus nerka,Kokanee Salmon,native
02HB,Oreochromis niloticus,Nile Tilapia,foreign
02LA,Oreochromis niloticus,Nile Tilapia,foreign
02GC,Platichthys flesus,European Flounder,foreign
201,Platichthys flesus,European Flounder,foreign
207,Platichthys flesus,European Flounder,foreign
08EE,Prosopium sp.,Giant Pygmy Whitefish,native
08MC,Prosopium sp.,Giant Pygmy Whitefish,native
02FE,Proterorhinus semilunaris,Western Tubenose Goby,foreign
02GC,Proterorhinus semilunaris,Western Tubenose Goby,foreign
203,Proterorhinus semilunaris,Western Tubenose Goby,foreign
207,Proterorhinus semilunaris,Western Tubenose Goby,foreign
201,Pungitius pungitius,Ninespine Stickleback,native
203,Pungitius pungitius,Ninespine Stickleback,native
210,Pungitius pungitius,Ninespine Stickleback,native
02BB,Rhinichthys atratulus,Eastern Blacknose Dace,native
02JE,Rhinichthys atratulus,Eastern Blacknose Dace,native
04DB,Rhinichthys atratulus,Eastern Blacknose Dace,native
04DC,Rhinichthys atratulus,Eastern Blacknose Dace,native
04EA,Rhinichthys atratulus,Eastern Blacknose Dace,native
04JD,Rhinichthys atratulus,Eastern Blacknose Dace,native
04LE,Rhinichthys atratulus,Eastern Blacknose Dace,native
201,Rhinichthys atratulus,Eastern Blacknose Dace,native
203,Rhinichthys atratulus,Eastern Blacknose Dace,native
207,Rhinichthys atratulus,Eastern Blacknose Dace,native
209,Rhinichthys atratulus,Eastern Blacknose Dace,native
02EC,Rhinichthys obtusus,Western Blacknose Dace,native
02FA,Rhinichthys obtusus,Western Blacknose Dace,native
02FB,Rhinichthys obtusus,Western Blacknose Dace,native
02FD,Rhinichthys obtusus,Western Blacknose Dace,native
02FF,Rhinichthys obtusus,Western Blacknose Dace,native
02GE,Rhinichthys obtusus,Western Blacknose Dace,native
02GF,Rhinichthys obtusus,Western Blacknose Dace,native
02GG,Rhinichthys obtusus,Western Blacknose Dace,native
02HB,Rhinichthys obtusus,Western Blacknose Dace,native
02KF,Rhinichthys obtusus,Western Blacknose Dace,native
02LA,Rhinichthys obtusus,Western Blacknose Dace,native
02LB,Rhinichthys obtusus,Western Blacknose Dace,native
203,Rhinichthys obtusus,Western Blacknose Dace,native
209,Rhinichthys obtusus,Western Blacknose Dace,native
08MH,Rhinicthys sp.,Nooksack Dace,native
08MG,Spirinchus sp. 8,Pygmy Longfin Smelt,native
08MH,Spirinchus sp. 8,Pygmy Longfin Smelt,native
201,Acipenser fulvescens,Lake Sturgeon,native
203,Acipenser fulvescens,Lake Sturgeon,native
207,Acipenser fulvescens,Lake Sturgeon,native
209,Acipenser fulvescens,Lake Sturgeon,native
02AA,Acipenser fulvescens,Lake Sturgeon,native
02AB,Acipenser fulvescens,Lake Sturgeon,native
02AC,Acipenser fulvescens,Lake Sturgeon,native
02AD,Acipenser fulvescens,Lake Sturgeon,native
02AE,Acipenser fulvescens,Lake Sturgeon,native
02BA,Acipenser fulvescens,Lake Sturgeon,native
02BB,Acipenser fulvescens,Lake Sturgeon,native
02BC,Acipenser fulvescens,Lake Sturgeon,native
02BD,Acipenser fulvescens,Lake Sturgeon,native
02BE,Acipenser fulvescens,Lake Sturgeon,native
02BF,Acipenser fulvescens,Lake Sturgeon,native
02CA,Acipenser fulvescens,Lake Sturgeon,native
02CB,Acipenser fulvescens,Lake Sturgeon,native
02CC,Acipenser fulvescens,Lake Sturgeon,native
02CD,Acipenser fulvescens,Lake Sturgeon,native
02CE,Acipenser fulvescens,Lake Sturgeon,native
02CF,Acipenser fulvescens,Lake Sturgeon,native
02CH,Acipenser fulvescens,Lake Sturgeon,native
02DA,Acipenser fulvescens,Lake Sturgeon,native
02DB,Acipenser fulvescens,Lake Sturgeon,native
02DC,Acipenser fulvescens,Lake Sturgeon,native
02DD,Acipenser fulvescens,Lake Sturgeon,native
02EA,Acipenser fulvescens,Lake Sturgeon,native
02EB,Acipenser fulvescens,Lake Sturgeon,native
02EC,Acipenser fulvescens,Lake Sturgeon,native
02ED,Acipenser fulvescens,Lake Sturgeon,native
02FA,Acipenser fulvescens,Lake Sturgeon,native
02FB,Acipenser fulvescens,Lake Sturgeon,native
02FC,Acipenser fulvescens,Lake Sturgeon,native
02FD,Acipenser fulvescens,Lake Sturgeon,native
02FE,Acipenser fulvescens,Lake Sturgeon,native
02FF,Acipenser fulvescens,Lake Sturgeon,native
02GA,Acipenser fulvescens,Lake Sturgeon,native
02GB,Acipenser fulvescens,Lake Sturgeon,native
02GC,Acipenser fulvescens,Lake Sturgeon,native
02GD,Acipenser fulvescens,Lake Sturgeon,native
02GE,Acipenser fulvescens,Lake Sturgeon,native
02GF,Acipenser fulvescens,Lake Sturgeon,native
02GG,Acipenser fulvescens,Lake Sturgeon,native
02GH,Acipenser fulvescens,Lake Sturgeon,native
02HA,Acipenser fulvescens,Lake Sturgeon,native
02HB,Acipenser fulvescens,Lake Sturgeon,native
02HC,Acipenser fulvescens,Lake Sturgeon,native
02HD,Acipenser fulvescens,Lake Sturgeon,native
02HE,Acipenser fulvescens,Lake Sturgeon,native
02HF,Acipenser fulvescens,Lake Sturgeon,native
02HG,Acipenser fulvescens,Lake Sturgeon,native
02HH,Acipenser fulvescens,Lake Sturgeon,native
02HJ,Acipenser fulvescens,Lake Sturgeon,native
02HK,Acipenser fulvescens,Lake Sturgeon,native
02HL,Acipenser fulvescens,Lake Sturgeon,native
02HM,Acipenser fulvescens,Lake Sturgeon,native
02JA,Acipenser fulvescens,Lake Sturgeon,native
02JB,Acipenser fulvescens,Lake Sturgeon,native
02JC,Acipenser fulvescens,Lake Sturgeon,native
02JD,Acipenser fulvescens,Lake Sturgeon,native
02JE,Acipenser fulvescens,Lake Sturgeon,native
02KA,Acipenser fulvescens,Lake Sturgeon,native
02KB,Acipenser fulvescens,Lake Sturgeon,native
02KC,Acipenser fulvescens,Lake Sturgeon,native
02KD,Acipenser fulvescens,Lake Sturgeon,native
02KE,Acipenser fulvescens,Lake Sturgeon,native
02KF,Acipenser fulvescens,Lake Sturgeon,native
02KG,Acipenser fulvescens,Lake Sturgeon,native
02KH,Acipenser fulvescens,Lake Sturgeon,native
02KJ,Acipenser fulvescens,Lake Sturgeon,native
02LA,Acipenser fulvescens,Lake Sturgeon,native
02LB,Acipenser fulvescens,Lake Sturgeon,native
02LC,Acipenser fulvescens,Lake Sturgeon,native
02LD,Acipenser fulvescens,Lake Sturgeon,native
02LE,Acipenser fulvescens,Lake Sturgeon,native
02LF,Acipenser fulvescens,Lake Sturgeon,native
02LG,Acipenser fulvescens,Lake Sturgeon,native
02LH,Acipenser fulvescens,Lake Sturgeon,native
02MA,Acipenser fulvescens,Lake Sturgeon,native
02MB,Acipenser fulvescens,Lake Sturgeon,native
02MC,Acipenser fulvescens,Lake Sturgeon,native
02NA,Acipenser fulvescens,Lake Sturgeon,native
02NB,Acipenser fulvescens,Lake Sturgeon,native
02NC,Acipenser fulvescens,Lake Sturgeon,native
02ND,Acipenser fulvescens,Lake Sturgeon,native
02NE,Acipenser fulvescens,Lake Sturgeon,native
02NF,Acipenser fulvescens,Lake Sturgeon,native
02NG,Acipenser fulvescens,Lake Sturgeon,native
02OA,Acipenser fulvescens,Lake Sturgeon,native
02OB,Acipenser fulvescens,Lake Sturgeon,native
02OC,Acipenser fulvescens,Lake Sturgeon,native
02OD,Acipenser fulvescens,Lake Sturgeon,native
02OF,Acipenser fulvescens,Lake Sturgeon,native
02OG,Acipenser fulvescens,Lake Sturgeon,native
02OH,Acipenser fulvescens,Lake Sturgeon,native
02OJ,Acipenser fulvescens,Lake Sturgeon,native
02PA,Acipenser fulvescens,Lake Sturgeon,native
02PB,Acipenser fulvescens,Lake Sturgeon,native
02PC,Acipenser fulvescens,Lake Sturgeon,native
02PD,Acipenser fulvescens,Lake Sturgeon,native
02PE,Acipenser fulvescens,Lake Sturgeon,native
02PF,Acipenser fulvescens,Lake Sturgeon,native
02PG,Acipenser fulvescens,Lake Sturgeon,native
02PH,Acipenser fulvescens,Lake Sturgeon,native
02PJ,Acipenser fulvescens,Lake Sturgeon,native
02PK,Acipenser fulvescens,Lake Sturgeon,native
02PL,Acipenser fulvescens,Lake Sturgeon,native
03AA,Acipenser fulvescens,Lake Sturgeon,native
03AB,Acipenser fulvescens,Lake Sturgeon,native
03AC,Acipenser fulvescens,Lake Sturgeon,native
03AD,Acipenser fulvescens,Lake Sturgeon,native
03BA,Acipenser fulvescens,Lake Sturgeon,native
03BB,Acipenser fulvescens,Lake Sturgeon,native
03BC,Acipenser fulvescens,Lake Sturgeon,native
03BD,Acipenser fulvescens,Lake Sturgeon,native
03BE,Acipenser fulvescens,Lake Sturgeon,native
03BF,Acipenser fulvescens,Lake Sturgeon,native
03BG,Acipenser fulvescens,Lake Sturgeon,native
03CA,Acipenser fulvescens,Lake Sturgeon,native
03CB,Acipenser fulvescens,Lake Sturgeon,native
03CC,Acipenser fulvescens,Lake Sturgeon,native
03CD,Acipenser fulvescens,Lake Sturgeon,native
03CE,Acipenser fulvescens,Lake Sturgeon,native
03DD,Acipenser fulvescens,Lake Sturgeon,native
03DE,Acipenser fulvescens,Lake Sturgeon,native
03DF,Acipenser fulvescens,Lake Sturgeon,native
03DG,Acipenser fulvescens,Lake Sturgeon,native
03DH,Acipenser fulvescens,Lake Sturgeon,native
04AA,Acipenser fulvescens,Lake Sturgeon,native
04AB,Acipenser fulvescens,Lake Sturgeon,native
04AC,Acipenser fulvescens,Lake Sturgeon,native
04AD,Acipenser fulvescens,Lake Sturgeon,native
04AE,Acipenser fulvescens,Lake Sturgeon,native
04AF,Acipenser fulvescens,Lake Sturgeon,native
04BA,Acipenser fulvescens,Lake Sturgeon,native
04BB,Acipenser fulvescens,Lake Sturgeon,native
04BC,Acipenser fulvescens,Lake Sturgeon,native
04CA,Acipenser fulvescens,Lake Sturgeon,native
04CB,Acipenser fulvescens,Lake Sturgeon,native
04CC,Acipenser fulvescens,Lake Sturgeon,native
04CD,Acipenser fulvescens,Lake Sturgeon,native
04CE,Acipenser fulvescens,Lake Sturgeon,native
04CF,Acipenser fulvescens,Lake Sturgeon,native
04DA,Acipenser fulvescens,Lake Sturgeon,native
04DB,Acipenser fulvescens,Lake Sturgeon,native
04DC,Acipenser fulvescens,Lake Sturgeon,native
04DD,Acipenser fulvescens,Lake Sturgeon,native
04EA,Acipenser fulvescens,Lake Sturgeon,native
04EB,Acipenser fulvescens,Lake Sturgeon,native
04EC,Acipenser fulvescens,Lake Sturgeon,native
04ED,Acipenser fulvescens,Lake Sturgeon,native
04FA,Acipenser fulvescens,Lake Sturgeon,native
04FB,Acipenser fulvescens,Lake Sturgeon,native
04FC,Acipenser fulvescens,Lake Sturgeon,native
04GA,Acipenser fulvescens,Lake Sturgeon,native
04GB,Acipenser fulvescens,Lake Sturgeon,native
04GC,Acipenser fulvescens,Lake Sturgeon,native
04GD,Acipenser fulvescens,Lake Sturgeon,native
04GE,Acipenser fulvescens,Lake Sturgeon,native
04GF,Acipenser fulvescens,Lake Sturgeon,native
04HA,Acipenser fulvescens,Lake Sturgeon,native
04HB,Acipenser fulvescens,Lake Sturgeon,native
04HC,Acipenser fulvescens,Lake Sturgeon,native
04HD,Acipenser fulvescens,Lake Sturgeon,native
04JA,Acipenser fulvescens,Lake Sturgeon,native
04JB,Acipenser fulvescens,Lake Sturgeon,native
04JC,Acipenser fulvescens,Lake Sturgeon,native
04JD,Acipenser fulvescens,Lake Sturgeon,native
04JE,Acipenser fulvescens,Lake Sturgeon,native
04JF,Acipenser fulvescens,Lake Sturgeon,native
