value,count,prop,class,col
2,292647,72.07,Trees,darkgreen
1,81785,20.14,Water,blue
11,31170,7.68,Rangeland,green
4,455,0.11,Flooded vegetation,lightgreen
8,19,0,Bare ground,burlywood
9,2,0,Snow/Ice,black
